State,County,year,Total Population of Children <72 Months of Age,Number of Children Tested <72 Months of Age,Number of Children with Confirmed BLLs ³5 µg/dL,Percent of Children with Confirmed BLLs ³5 µg/dL,Number of Children with Confirmed BLLs ³10 µg/dL,Percent of Children with Confirmed BLLs ³10 µg/dL,Number of Children with Confirmed BLLs 5-9 µg/dL,Number of Children with Confirmed BLLs 10-14 µg/dL,Number of Children with Confirmed BLLs 15-19 µg/dL,Number of Children with Confirmed BLLs 20-24 µg/dL,Number of Children with Confirmed BLLs 25-44 µg/dL,Number of Children with Confirmed BLLs ³45 µg/dL
AL,Autauga,2021,4045,238,SD,SD,SD,SD,0,SD,0,0,0,0
AL,Baldwin,2021,14651,552,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Barbour,2021,1571,268,SD,SD,SD,SD,0,SD,SD,0,0,0
AL,Bibb,2021,1459,105,SD,SD,SD,SD,0,SD,0,0,0,0
AL,Blount,2021,4148,365,0,0.00%,0,0.00%,0,0,0,0,0,0
AL,Bullock,2021,657,162,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Butler,2021,1328,127,SD,SD,SD,SD,0,0,0,SD,0,0
AL,Calhoun,2021,7799,398,8,2.00%,SD,SD,6,SD,0,0,0,0
AL,Chambers,2021,2164,144,SD,SD,SD,SD,SD,SD,0,0,0,0
AL,Cherokee,2021,1470,105,0,0.00%,0,0.00%,0,0,0,0,0,0
AL,Chilton,2021,3256,348,SD,SD,SD,SD,SD,SD,0,0,0,0
AL,Choctaw,2021,803,54,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Clarke,2021,1586,229,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Clay,2021,869,53,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Cleburne,2021,1080,37,0,0.00%,0,0.00%,0,0,0,0,0,0
AL,Coffee,2021,3862,509,6,1.20%,SD,SD,SD,SD,0,0,0,0
AL,Colbert,2021,3806,438,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Conecuh,2021,742,43,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Coosa,2021,548,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
AL,Covington,2021,2561,306,SD,SD,SD,SD,SD,SD,SD,0,0,0
AL,Crenshaw,2021,937,95,6,6.30%,SD,SD,SD,SD,0,0,0,0
AL,Cullman,2021,6090,545,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Dale,2021,3909,556,7,1.30%,0,0.00%,7,0,0,0,0,0
AL,Dallas,2021,2541,384,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,DeKalb,2021,5173,168,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Elmore,2021,5627,341,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Escambia,2021,2636,111,0,0.00%,0,0.00%,0,0,0,0,0,0
AL,Etowah,2021,7136,487,15,3.10%,6,1.20%,9,SD,SD,SD,0,0
AL,Fayette,2021,1104,51,0,0.00%,0,0.00%,0,0,0,0,0,0
AL,Franklin,2021,2616,305,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Geneva,2021,1739,251,SD,SD,SD,SD,SD,SD,0,0,0,0
AL,Greene,2021,538,68,0,0.00%,0,0.00%,0,0,0,0,0,0
AL,Hale,2021,1155,75,0,0.00%,0,0.00%,0,0,0,0,0,0
AL,Henry,2021,1043,138,SD,SD,SD,SD,0,SD,0,0,0,0
AL,Houston,2021,7975,1280,13,1.00%,SD,SD,11,SD,0,0,SD,0
AL,Jackson,2021,3356,465,SD,SD,SD,SD,SD,SD,0,0,0,0
AL,Jefferson,2021,50059,4267,67,1.60%,17,0.40%,50,9,SD,SD,SD,0
AL,Lamar,2021,973,36,0,0.00%,0,0.00%,0,0,0,0,0,0
AL,Lauderdale,2021,5812,285,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Lawrence,2021,2175,194,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Lee,2021,11364,667,9,1.30%,SD,SD,SD,SD,SD,0,0,0
AL,Limestone,2021,6819,394,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Lowndes,2021,709,68,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Macon,2021,1060,130,SD,SD,SD,SD,SD,SD,0,0,0,0
AL,Madison,2021,26679,1100,0,0.00%,0,0.00%,0,0,0,0,0,0
AL,Marengo,2021,1347,137,0,0.00%,0,0.00%,0,0,0,0,0,0
AL,Marion,2021,1899,107,0,0.00%,0,0.00%,0,0,0,0,0,0
AL,Marshall,2021,8289,783,10,1.30%,SD,SD,8,0,SD,SD,0,0
AL,Mobile,2021,32399,3636,59,1.60%,18,0.50%,41,9,SD,SD,SD,0
AL,Monroe,2021,1226,119,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Montgomery,2021,18249,1735,21,1.20%,SD,SD,17,SD,SD,0,0,0
AL,Morgan,2021,8717,767,7,0.90%,SD,SD,SD,SD,0,0,SD,0
AL,Perry,2021,567,76,0,0.00%,0,0.00%,0,0,0,0,0,0
AL,Pickens,2021,1242,63,SD,SD,SD,SD,0,SD,0,0,0,0
AL,Pike,2021,2107,354,28,7.90%,9,2.50%,19,6,SD,SD,0,0
AL,Randolph,2021,1536,149,SD,SD,SD,SD,SD,SD,0,SD,0,0
AL,Russell,2021,4827,406,SD,SD,SD,SD,SD,0,0,0,0,SD
AL,St. Clair,2021,6229,179,SD,SD,SD,SD,SD,SD,0,0,0,0
AL,Shelby,2021,14702,750,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Sumter,2021,857,49,0,0.00%,0,0.00%,0,0,0,0,0,0
AL,Talladega,2021,5192,99,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Tallapoosa,2021,2531,116,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Tuscaloosa,2021,14825,1102,8,0.70%,SD,SD,SD,SD,0,SD,0,SD
AL,Walker,2021,4631,378,SD,SD,SD,SD,SD,0,SD,0,0,0
AL,Washington,2021,1098,130,0,0.00%,0,0.00%,0,0,0,0,0,0
AL,Wilcox,2021,765,114,SD,SD,SD,SD,SD,SD,0,0,0,0
AL,Winston,2021,1498,167,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Unknown,2021,0,11860,18,0.20%,SD,SD,13,SD,SD,0,SD,0
AK,Aleutians East,2021,69,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,Aleutians West (CA),2021,219,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,Anchorage,2021,23582,2257,SD,SD,SD,SD,SD,0,SD,0,0,0
AK,Bethel (CA),2021,2370,472,SD,SD,0,0.00%,SD,0,0,0,0,0
AK,Bristol Bay,2021,63,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
