"GEO_ID","NAME","B25048_001E","B25048_001M","B25048_002E","B25048_002M","B25048_003E","B25048_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Complete plumbing facilities","Margin of Error!!Total:!!Complete plumbing facilities","Estimate!!Total:!!Lacking complete plumbing facilities","Margin of Error!!Total:!!Lacking complete plumbing facilities",
"0500000US01001","Autauga County, Alabama","21856","424","21746","429","110","91",
"0500000US01003","Baldwin County, Alabama","87190","1307","86952","1314","238","148",
"0500000US01005","Barbour County, Alabama","9088","301","9069","302","19","20",
"0500000US01007","Bibb County, Alabama","7083","289","7034","289","49","49",
"0500000US01009","Blount County, Alabama","21300","411","21181","429","119","98",
"0500000US01011","Bullock County, Alabama","3419","222","3419","222","0","20",
"0500000US01013","Butler County, Alabama","6531","290","6509","289","22","23",
"0500000US01015","Calhoun County, Alabama","44295","619","44134","614","161","126",
"0500000US01017","Chambers County, Alabama","13123","445","13053","448","70","66",
"0500000US01019","Cherokee County, Alabama","9692","442","9692","442","0","24",
"0500000US01021","Chilton County, Alabama","16562","453","16506","451","56","52",
"0500000US01023","Choctaw County, Alabama","5211","218","5127","221","84","62",
"0500000US01025","Clarke County, Alabama","8250","333","8178","325","72","54",
"0500000US01027","Clay County, Alabama","5399","251","5355","262","44","58",
"0500000US01029","Cleburne County, Alabama","5598","193","5574","191","24","25",
"0500000US01031","Coffee County, Alabama","20478","414","20433","406","45","55",
"0500000US01033","Colbert County, Alabama","22640","528","22596","530","44","35",
"0500000US01035","Conecuh County, Alabama","4187","265","4187","265","0","20",
"0500000US01037","Coosa County, Alabama","3824","206","3805","204","19","19",
"0500000US01039","Covington County, Alabama","14296","347","14192","358","104","64",
"0500000US01041","Crenshaw County, Alabama","4653","162","4623","163","30","29",
"0500000US01043","Cullman County, Alabama","32939","529","32813","522","126","72",
"0500000US01045","Dale County, Alabama","19470","374","19431","376","39","33",
"0500000US01047","Dallas County, Alabama","14385","422","14307","429","78","73",
"0500000US01049","DeKalb County, Alabama","25601","548","25568","548","33","31",
"0500000US01051","Elmore County, Alabama","31630","647","31559","644","71","52",
"0500000US01053","Escambia County, Alabama","12878","566","12870","566","8","10",
"0500000US01055","Etowah County, Alabama","38289","702","38178","706","111","80",
"0500000US01057","Fayette County, Alabama","6204","256","6182","258","22","22",
"0500000US01059","Franklin County, Alabama","10955","379","10940","377","15","17",
"0500000US01061","Geneva County, Alabama","10303","322","10303","322","0","24",
"0500000US01063","Greene County, Alabama","2849","191","2827","185","22","31",
"0500000US01065","Hale County, Alabama","5133","251","5106","249","27","25",
"0500000US01067","Henry County, Alabama","6404","277","6395","278","9","15",
"0500000US01069","Houston County, Alabama","41095","345","41051","344","44","24",
"0500000US01071","Jackson County, Alabama","20276","511","20198","510","78","54",
"0500000US01073","Jefferson County, Alabama","264105","1463","262854","1561","1251","476",
"0500000US01075","Lamar County, Alabama","5351","272","5339","271","12","17",
"0500000US01077","Lauderdale County, Alabama","37928","514","37794","515","134","79",
"0500000US01079","Lawrence County, Alabama","12469","325","12426","333","43","34",
"0500000US01081","Lee County, Alabama","63122","839","63005","848","117","81",
"0500000US01083","Limestone County, Alabama","37987","502","37845","526","142","118",
"0500000US01085","Lowndes County, Alabama","3878","154","3867","155","11","12",
"0500000US01087","Macon County, Alabama","7136","331","7107","334","29","22",
"0500000US01089","Madison County, Alabama","156305","1115","156027","1119","278","136",
"0500000US01091","Marengo County, Alabama","7248","316","7239","316","9","11",
"0500000US01093","Marion County, Alabama","11131","404","11016","432","115","122",
"0500000US01095","Marshall County, Alabama","35439","490","35318","495","121","60",
"0500000US01097","Mobile County, Alabama","158045","1246","157723","1236","322","133",
"0500000US01099","Monroe County, Alabama","7333","305","7309","312","24","28",
"0500000US01101","Montgomery County, Alabama","89134","970","88819","978","315","154",
"0500000US01103","Morgan County, Alabama","47459","585","47255","609","204","205",
"0500000US01105","Perry County, Alabama","2847","229","2789","227","58","84",
"0500000US01107","Pickens County, Alabama","6993","306","6985","304","8","12",
"0500000US01109","Pike County, Alabama","11508","492","11502","490","6","6",
"0500000US01111","Randolph County, Alabama","8607","342","8504","344","103","70",
"0500000US01113","Russell County, Alabama","23141","483","23084","480","57","42",
"0500000US01115","St. Clair County, Alabama","33218","567","33173","573","45","71",
"0500000US01117","Shelby County, Alabama","82005","620","81657","627","348","157",
"0500000US01119","Sumter County, Alabama","4808","217","4798","217","10","18",
"0500000US01121","Talladega County, Alabama","31778","584","31315","622","463","235",
"0500000US01123","Tallapoosa County, Alabama","16380","454","16270","450","110","78",
"0500000US01125","Tuscaloosa County, Alabama","81790","975","81641","986","149","102",
"0500000US01127","Walker County, Alabama","24646","400","24509","425","137","92",
"0500000US01129","Washington County, Alabama","5261","333","5224","331","37","37",
"0500000US01131","Wilcox County, Alabama","3626","227","3568","215","58","53",
"0500000US01133","Winston County, Alabama","9219","316","9144","333","75","64",
"0500000US02013","Aleutians East Borough, Alaska","914","120","889","115","25","13",
"0500000US02016","Aleutians West Census Area, Alaska","1004","201","981","193","23","13",
"0500000US02020","Anchorage Municipality, Alaska","106695","891","105819","966","876","370",
"0500000US02050","Bethel Census Area, Alaska","4520","170","3113","143","1407","111",
"0500000US02060","Bristol Bay Borough, Alaska","315","53","301","52","14","12",
"0500000US02063","Chugach Census Area, Alaska","2592","152","2564","156","28","37",
"0500000US02066","Copper River Census Area, Alaska","946","125","850","120","96","41",
"0500000US02068","Denali Borough, Alaska","531","306","435","245","96","73",
"0500000US02070","Dillingham Census Area, Alaska","1372","83","1208","90","164","36",
"0500000US02090","Fairbanks North Star Borough, Alaska","35298","809","33330","804","1968","455",
"0500000US02100","Haines Borough, Alaska","773","106","692","100","81","65",
"0500000US02105","Hoonah-Angoon Census Area, Alaska","811","121","749","113","62","25",
"0500000US02110","Juneau City and Borough, Alaska","12922","279","12853","283","69","55",
"0500000US02122","Kenai Peninsula Borough, Alaska","22768","382","22041","420","727","146",
"0500000US02130","Ketchikan Gateway Borough, Alaska","5487","127","5477","125","10","11",
"0500000US02150","Kodiak Island Borough, Alaska","4416","225","4405","225","11","11",
"0500000US02158","Kusilvak Census Area, Alaska","1815","98","1356","116","459","54",
"0500000US02164","Lake and Peninsula Borough, Alaska","319","157","275","139","44","24",
"0500000US02170","Matanuska-Susitna Borough, Alaska","38056","314","36990","291","1066","128",
"0500000US02180","Nome Census Area, Alaska","2714","134","2050","120","664","61",
"0500000US02185","North Slope Borough, Alaska","2103","152","1875","168","228","71",
"0500000US02188","Northwest Arctic Borough, Alaska","1756","78","1405","74","351","44",
"0500000US02195","Petersburg Borough, Alaska","1211","141","1201","139","10","8",
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","2310","93","2156","93","154","48",
"0500000US02220","Sitka City and Borough, Alaska","3439","149","3389","154","50","25",
"0500000US02230","Skagway Municipality, Alaska","390","62","380","61","10","8",
"0500000US02240","Southeast Fairbanks Census Area, Alaska","2127","122","1891","129","236","53",
"0500000US02275","Wrangell City and Borough, Alaska","842","74","832","72","10","11",
"0500000US02282","Yakutat City and Borough, Alaska","216","50","205","50","11","13",
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","1899","81","1213","79","686","73",
"0500000US04001","Apache County, Arizona","19443","380","16953","407","2490","214",
"0500000US04003","Cochise County, Arizona","49239","748","49035","762","204","80",
"0500000US04005","Coconino County, Arizona","51037","843","49350","867","1687","199",
"0500000US04007","Gila County, Arizona","22306","611","21935","607","371","146",
"0500000US04009","Graham County, Arizona","11577","287","11432","307","145","82",
"0500000US04011","Greenlee County, Arizona","3265","184","3259","183","6","11",
"0500000US04012","La Paz County, Arizona","8678","364","8612","359","66","58",
"0500000US04013","Maricopa County, Arizona","1632151","3830","1626461","3836","5690","650",
"0500000US04015","Mohave County, Arizona","93179","1199","92595","1169","584","199",
"0500000US04017","Navajo County, Arizona","36567","645","34022","630","2545","289",
"0500000US04019","Pima County, Arizona","417483","1735","415661","1723","1822","298",
"0500000US04021","Pinal County, Arizona","145554","1497","144882","1518","672","226",
"0500000US04023","Santa Cruz County, Arizona","16428","332","16234","331","194","114",
"0500000US04025","Yavapai County, Arizona","103934","1022","103673","1022","261","120",
"0500000US04027","Yuma County, Arizona","72716","958","72274","1004","442","185",
"0500000US05001","Arkansas County, Arkansas","6595","250","6595","250","0","20",
"0500000US05003","Ashley County, Arkansas","7239","286","7232","285","7","7",
"0500000US05005","Baxter County, Arkansas","18835","377","18654","397","181","138",
"0500000US05007","Benton County, Arkansas","101109","706","100988","713","121","61",
"0500000US05009","Boone County, Arkansas","15190","371","15026","393","164","105",
"0500000US05011","Bradley County, Arkansas","3706","169","3693","169","13","19",
"0500000US05013","Calhoun County, Arkansas","1481","246","1477","245","4","7",
"0500000US05015","Carroll County, Arkansas","11168","400","11075","397","93","63",
"0500000US05017","Chicot County, Arkansas","4014","170","4008","169","6","12",
"0500000US05019","Clark County, Arkansas","8056","304","8044","304","12","20",
"0500000US05021","Clay County, Arkansas","6152","189","6145","189","7","7",
"0500000US05023","Cleburne County, Arkansas","10664","344","10629","344","35","34",
"0500000US05025","Cleveland County, Arkansas","2745","153","2732","150","13","16",
"0500000US05027","Columbia County, Arkansas","7768","523","7768","523","0","24",
"0500000US05029","Conway County, Arkansas","8460","262","8441","263","19","17",
"0500000US05031","Craighead County, Arkansas","41865","645","41577","667","288","229",
"0500000US05033","Crawford County, Arkansas","22748","391","22570","391","178","116",
"0500000US05035","Crittenden County, Arkansas","18561","305","18510","309","51","38",
"0500000US05037","Cross County, Arkansas","6390","205","6332","202","58","51",
"0500000US05039","Dallas County, Arkansas","2326","161","2326","161","0","18",
"0500000US05041","Desha County, Arkansas","4721","174","4703","176","18","19",
"0500000US05043","Drew County, Arkansas","6970","289","6926","285","44","38",
"0500000US05045","Faulkner County, Arkansas","46445","656","45993","681","452","189",
"0500000US05047","Franklin County, Arkansas","6718","282","6697","277","21","24",
"0500000US05049","Fulton County, Arkansas","4636","243","4588","249","48","36",
"0500000US05051","Garland County, Arkansas","41919","685","41788","713","131","111",
"0500000US05053","Grant County, Arkansas","6850","241","6825","242","25","30",
"0500000US05055","Greene County, Arkansas","17583","348","17512","361","71","63",
"0500000US05057","Hempstead County, Arkansas","7566","363","7497","370","69","88",
"0500000US05059","Hot Spring County, Arkansas","12070","399","11920","425","150","119",
"0500000US05061","Howard County, Arkansas","5253","208","5253","208","0","20",
"0500000US05063","Independence County, Arkansas","14349","398","14217","416","132","91",
"0500000US05065","Izard County, Arkansas","4623","275","4590","278","33","47",
"0500000US05067","Jackson County, Arkansas","5978","274","5899","282","79","51",
"0500000US05069","Jefferson County, Arkansas","24416","482","24242","493","174","118",
"0500000US05071","Johnson County, Arkansas","9849","285","9773","285","76","41",
"0500000US05073","Lafayette County, Arkansas","2500","169","2490","171","10","15",
"0500000US05075","Lawrence County, Arkansas","6260","218","6247","218","13","13",
"0500000US05077","Lee County, Arkansas","2767","173","2740","173","27","35",
"0500000US05079","Lincoln County, Arkansas","3391","230","3384","229","7","10",
"0500000US05081","Little River County, Arkansas","4753","227","4726","224","27","31",
"0500000US05083","Logan County, Arkansas","8271","268","8222","276","49","53",
"0500000US05085","Lonoke County, Arkansas","27277","370","27186","375","91","61",
"0500000US05087","Madison County, Arkansas","6056","247","5996","264","60","60",
"0500000US05089","Marion County, Arkansas","6950","316","6894","325","56","54",
"0500000US05091","Miller County, Arkansas","16240","424","16211","429","29","31",
"0500000US05093","Mississippi County, Arkansas","15565","409","15536","401","29","43",
"0500000US05095","Monroe County, Arkansas","2816","157","2816","157","0","18",
"0500000US05097","Montgomery County, Arkansas","3669","239","3623","238","46","45",
"0500000US05099","Nevada County, Arkansas","3070","233","3005","240","65","64",
"0500000US05101","Newton County, Arkansas","2769","186","2685","181","84","45",
"0500000US05103","Ouachita County, Arkansas","8686","415","8593","422","93","58",
"0500000US05105","Perry County, Arkansas","3732","209","3732","209","0","20",
"0500000US05107","Phillips County, Arkansas","6315","269","6309","270","6","8",
"0500000US05109","Pike County, Arkansas","4042","170","4030","171","12","13",
"0500000US05111","Poinsett County, Arkansas","8992","246","8968","249","24","25",
"0500000US05113","Polk County, Arkansas","7736","255","7649","260","87","72",
"0500000US05115","Pope County, Arkansas","23304","553","23182","566","122","78",
"0500000US05117","Prairie County, Arkansas","3385","136","3379","135","6","9",
"0500000US05119","Pulaski County, Arkansas","164697","1214","163316","1243","1381","380",
"0500000US05121","Randolph County, Arkansas","7234","270","7186","276","48","53",
"0500000US05123","St. Francis County, Arkansas","8146","272","8059","273","87","53",
"0500000US05125","Saline County, Arkansas","47468","502","47295","514","173","119",
"0500000US05127","Scott County, Arkansas","3938","176","3928","176","10","12",
"0500000US05129","Searcy County, Arkansas","2964","174","2927","176","37","35",
"0500000US05131","Sebastian County, Arkansas","51587","591","51432","581","155","85",
"0500000US05133","Sevier County, Arkansas","5498","245","5482","244","16","21",
"0500000US05135","Sharp County, Arkansas","6841","342","6759","352","82","83",
"0500000US05137","Stone County, Arkansas","4678","314","4587","300","91","78",
"0500000US05139","Union County, Arkansas","14791","406","14689","412","102","87",
"0500000US05141","Van Buren County, Arkansas","6951","274","6865","276","86","50",
"0500000US05143","Washington County, Arkansas","91329","859","90849","907","480","181",
"0500000US05145","White County, Arkansas","28599","534","28565","539","34","28",
"0500000US05147","Woodruff County, Arkansas","2634","109","2624","112","10","13",
"0500000US05149","Yell County, Arkansas","7541","226","7519","232","22","23",
"0500000US06001","Alameda County, California","581683","1880","579588","1932","2095","377",
"0500000US06003","Alpine County, California","434","91","434","91","0","13",
"0500000US06005","Amador County, California","15394","447","15363","447","31","36",
"0500000US06007","Butte County, California","85292","767","84900","786","392","137",
"0500000US06009","Calaveras County, California","16809","529","16733","532","76","91",
"0500000US06011","Colusa County, California","7303","146","7254","162","49","50",
"0500000US06013","Contra Costa County, California","405106","1075","403533","1219","1573","308",
"0500000US06015","Del Norte County, California","9531","284","9497","289","34","34",
"0500000US06017","El Dorado County, California","74535","913","74420","914","115","109",
"0500000US06019","Fresno County, California","314421","970","313341","1024","1080","251",
"0500000US06021","Glenn County, California","9753","267","9615","290","138","79",
"0500000US06023","Humboldt County, California","53729","684","53532","695","197","78",
"0500000US06025","Imperial County, California","45541","790","45334","789","207","125",
"0500000US06027","Inyo County, California","7832","277","7718","274","114","72",
