"GEO_ID","NAME","B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2020 or later","Margin of Error!!Total:!!Built 2020 or later","Estimate!!Total:!!Built 2010 to 2019","Margin of Error!!Total:!!Built 2010 to 2019","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier",
"0500000US01001","Autauga County, Alabama","24170","70","71","82","2448","392","5225","566","5219","620","2378","432","4314","587","2826","437","860","238","327","123","502","199",
"0500000US01003","Baldwin County, Alabama","121763","201","441","193","16439","1146","33130","1319","28609","1517","18606","1356","10981","870","6222","699","2909","528","1721","441","2705","494",
"0500000US01005","Barbour County, Alabama","11667","141","0","24","430","124","1091","178","2551","337","1918","266","1751","236","1457","201","1000","199","580","176","889","167",
"0500000US01007","Bibb County, Alabama","9013","86","0","24","619","146","1337","230","1837","309","1446","295","1413","254","997","299","448","221","268","123","648","252",
"0500000US01009","Blount County, Alabama","24527","93","22","25","1352","292","4763","461","5545","548","3508","426","3645","503","2300","388","1173","336","974","198","1245","284",
"0500000US01011","Bullock County, Alabama","4522","60","12","18","204","139","622","190","1176","262","651","158","879","297","309","141","264","125","110","72","295","128",
"0500000US01013","Butler County, Alabama","9842","75","12","13","276","91","548","129","1978","253","1734","250","2158","282","1296","206","764","133","374","118","702","211",
"0500000US01015","Calhoun County, Alabama","53112","206","31","27","2718","430","6143","538","7200","577","8302","696","10760","613","5991","556","5430","533","3731","436","2806","351",
"0500000US01017","Chambers County, Alabama","16433","80","52","65","1049","252","1990","392","2239","282","2040","335","3085","401","1880","320","1348","230","864","187","1886","343",
"0500000US01019","Cherokee County, Alabama","14734","46","35","40","905","234","2864","390","3152","319","2390","423","2103","333","1398","242","835","202","502","180","550","159",
"0500000US01021","Chilton County, Alabama","19407","86","11","18","1676","377","3562","459","3239","473","2649","395","3465","538","1863","334","972","220","767","214","1203","266",
"0500000US01023","Choctaw County, Alabama","7132","38","33","52","243","89","782","178","1291","227","1077","183","1425","246","1057","233","877","177","175","73","172","78",
"0500000US01025","Clarke County, Alabama","11788","58","0","24","373","127","1535","256","2196","309","2245","312","2344","268","1635","272","675","171","384","146","401","120",
"0500000US01027","Clay County, Alabama","7009","34","0","20","414","130","749","189","1542","253","905","214","776","198","875","227","591","170","311","119","846","213",
"0500000US01029","Cleburne County, Alabama","6792","54","18","26","458","145","1078","192","1347","226","1004","199","863","146","768","163","552","157","385","143","319","120",
"0500000US01031","Coffee County, Alabama","23934","73","79","60","2351","342","4127","384","3486","324","3208","372","4550","427","2692","303","1876","310","670","141","895","120",
"0500000US01033","Colbert County, Alabama","27496","67","21","25","2469","365","3837","447","3332","387","2967","410","4807","450","4322","503","2412","321","1271","270","2058","296",
"0500000US01035","Conecuh County, Alabama","6469","16","23","24","134","58","373","104","2128","297","1164","228","1264","243","527","137","360","131","286","126","210","124",
"0500000US01037","Coosa County, Alabama","6064","42","17","18","268","110","872","184","1344","213","784","192","813","179","898","180","406","151","237","90","425","111",
"0500000US01039","Covington County, Alabama","18627","106","40","31","885","204","1782","262","4594","376","3133","276","2627","298","1944","247","1448","203","966","200","1208","203",
"0500000US01041","Crenshaw County, Alabama","6544","27","0","20","461","132","554","125","1065","188","1137","150","1663","210","673","112","503","100","195","61","293","74",
"0500000US01043","Cullman County, Alabama","38859","91","57","49","3342","541","4493","487","8222","607","5561","486","6880","650","4600","480","2000","331","1317","347","2387","366",
"0500000US01045","Dale County, Alabama","22790","104","0","27","1200","218","2789","281","3844","345","4521","399","4077","360","3603","377","1053","204","771","178","932","178",
"0500000US01047","Dallas County, Alabama","19037","82","29","34","576","178","1744","333","2674","345","1822","285","3999","447","2895","409","1911","361","1224","292","2163","370",
"0500000US01049","DeKalb County, Alabama","30647","135","155","123","1497","291","4533","517","6442","615","4498","534","5182","441","3442","493","1679","338","1374","284","1845","290",
"0500000US01051","Elmore County, Alabama","36425","238","79","60","4939","566","8924","689","7098","628","4011","474","5459","653","2551","432","1817","403","764","241","783","210",
"0500000US01053","Escambia County, Alabama","16672","381","0","27","732","207","1352","255","5304","541","3600","514","2113","313","1558","288","1158","278","375","141","480","145",
