Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Under 19 years:,Margin of Error!!Total:!!Under 19 years:,Estimate!!Total:!!Under 19 years:!!With health insurance coverage,Margin of Error!!Total:!!Under 19 years:!!With health insurance coverage,Estimate!!Total:!!Under 19 years:!!No health insurance coverage,Margin of Error!!Total:!!Under 19 years:!!No health insurance coverage,Estimate!!Total:!!19 to 64 years:,Margin of Error!!Total:!!19 to 64 years:,Estimate!!Total:!!19 to 64 years:!!With health insurance coverage,Margin of Error!!Total:!!19 to 64 years:!!With health insurance coverage,Estimate!!Total:!!19 to 64 years:!!No health insurance coverage,Margin of Error!!Total:!!19 to 64 years:!!No health insurance coverage,Estimate!!Total:!!65 years and over:,Margin of Error!!Total:!!65 years and over:,Estimate!!Total:!!65 years and over:!!With health insurance coverage,Margin of Error!!Total:!!65 years and over:!!With health insurance coverage,Estimate!!Total:!!65 years and over:!!No health insurance coverage,Margin of Error!!Total:!!65 years and over:!!No health insurance coverage
"Autauga County, Alabama",56855,1194,14580,770,14169,743,411,333,33031,1375,29728,1781,3303,1317,9244,499,9184,517,60,102
"Baldwin County, Alabama",235756,2108,52496,1056,49496,1488,3000,1270,132966,2158,115945,3431,17021,2775,50294,1384,49522,1018,772,1034
"Barbour County, Alabama",21787,946,5563,427,5548,445,15,38,11783,972,10368,1069,1415,651,4441,449,4441,449,0,216
"Bibb County, Alabama",21544,1444,4365,754,4232,777,133,211,13170,1440,11940,1346,1230,711,4009,1106,4009,1106,0,216
"Blount County, Alabama",58690,266,14112,389,13838,488,274,248,34088,487,28940,1262,5148,1233,10490,270,10490,270,0,216
"Butler County, Alabama",19109,1469,4448,810,4202,784,246,290,11065,1108,9082,1148,1983,742,3596,488,3596,488,0,216
"Calhoun County, Alabama",114601,1298,26964,716,25454,967,1510,819,66964,1393,53809,2868,13155,2508,20673,328,20410,404,263,254
"Chambers County, Alabama",34256,256,7849,693,7302,1069,547,779,19093,820,15649,1544,3444,1316,7314,463,7314,463,0,216
"Cherokee County, Alabama",25098,2447,4211,1257,4145,1241,66,82,15265,1825,13171,1813,2094,809,5622,799,5622,799,0,216
"Chilton County, Alabama",44827,678,10850,608,10449,734,401,544,26866,874,22737,1220,4129,1139,7111,331,7111,331,0,216
"Clarke County, Alabama",20018,2649,4455,1052,4368,1088,87,109,11561,1765,10184,1523,1377,639,4002,725,4002,725,0,216
"Coffee County, Alabama",51875,809,13481,372,12387,559,1094,673,29521,1033,25343,1126,4178,906,8873,547,8833,551,40,56
"Colbert County, Alabama",57180,156,12747,545,12452,590,295,267,32656,810,29494,1235,3162,1054,11777,623,11777,623,0,216
"Covington County, Alabama",37134,258,8831,427,7773,838,1058,689,20622,641,16850,1291,3772,948,7681,491,7681,491,0,216
"Cullman County, Alabama",89194,371,20531,488,19793,603,738,569,52063,566,45514,1689,6549,1624,16600,417,16474,380,126,201
"Dale County, Alabama",46046,1037,12047,781,11938,783,109,164,25410,1188,22495,1143,2915,774,8589,622,8589,622,0,216
"Dallas County, Alabama",37353,265,9697,658,9334,833,363,297,20427,605,17472,1090,2955,938,7229,219,7229,219,0,216
"DeKalb County, Alabama",71080,508,18099,599,16825,1177,1274,1100,40881,674,28912,1799,11969,1875,12100,488,11970,419,130,175
"Elmore County, Alabama",84444,1664,20260,321,19284,793,976,615,49719,1727,38098,3250,11621,2767,14465,620,14465,620,0,216
"Escambia County, Alabama",35593,712,8396,1077,7942,1130,454,432,20143,1262,16812,1604,3331,1222,7054,492,7048,495,6,13
"Etowah County, Alabama",102521,261,23528,453,22172,1561,1356,1419,59747,433,48222,2029,11525,2010,19246,262,18926,531,320,473
"Franklin County, Alabama",31817,120,9631,994,8104,726,1527,1080,16974,1011,14093,836,2881,1255,5212,266,5212,266,0,216
"Geneva County, Alabama",25460,2444,6136,1253,5696,1228,440,396,13916,1599,11408,1565,2508,879,5408,757,5408,757,0,216
"Houston County, Alabama",106536,443,25531,361,24779,431,752,309,61472,391,50427,1227,11045,1200,19533,325,19494,326,39,63
"Jackson County, Alabama",52313,421,11974,827,10856,880,1118,642,29443,713,23748,1617,5695,1612,10896,533,10896,533,0,216
"Jefferson County, Alabama",661543,1406,160668,1331,154618,2396,6050,2221,392948,1882,340692,4479,52256,4534,107927,871,107411,968,516,527
"Lauderdale County, Alabama",93063,798,19702,489,19010,744,692,578,54837,1076,44226,2240,10611,2152,18524,337,18524,337,0,216
