NAME,DP04_0073PE,DP04_0073PM,DP04_0074PE,DP04_0074PM,DP04_0075PE,DP04_0075PM
Geographic Area Name,Percent!!SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete plumbing facilities,Percent Margin of Error!!SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete plumbing facilities,Percent!!SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete kitchen facilities,Percent Margin of Error!!SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete kitchen facilities,Percent!!SELECTED CHARACTERISTICS!!Occupied housing units!!No telephone service available,Percent Margin of Error!!SELECTED CHARACTERISTICS!!Occupied housing units!!No telephone service available
"Autauga County, Alabama",0.5,0.4,0.7,0.6,0.6,0.3
"Baldwin County, Alabama",0.3,0.2,0.7,0.3,1.2,0.4
"Barbour County, Alabama",0.2,0.2,0.6,0.4,5,1.6
"Bibb County, Alabama",0.7,0.7,1.6,1.1,2.7,1.5
"Blount County, Alabama",0.6,0.5,0.8,0.7,1.8,0.5
"Bullock County, Alabama",0,1.1,0,1.1,1.4,1.3
"Butler County, Alabama",0.3,0.3,1.8,1,1.1,0.6
"Calhoun County, Alabama",0.4,0.3,1,0.4,1.2,0.4
"Chambers County, Alabama",0.5,0.5,0.5,0.4,1.3,0.6
"Cherokee County, Alabama",0,0.4,0.2,0.2,1.7,0.8
"Chilton County, Alabama",0.3,0.3,0.9,0.9,0.8,0.4
"Choctaw County, Alabama",1.6,1.2,2,1.7,2.2,1.1
"Clarke County, Alabama",0.9,0.6,0.6,0.6,2.7,1.3
"Clay County, Alabama",0.8,1.1,0,0.1,1.9,1.3
"Cleburne County, Alabama",0.4,0.5,0.5,0.5,0.9,0.6
"Coffee County, Alabama",0.2,0.3,0.5,0.3,1.3,0.5
"Colbert County, Alabama",0.2,0.2,0.9,0.5,3.6,1.1
"Conecuh County, Alabama",0,0.9,0.8,0.7,3.2,2.2
"Coosa County, Alabama",0.5,0.5,1.6,1.3,0.4,0.6
"Covington County, Alabama",0.7,0.5,1.2,0.8,2,0.7
"Crenshaw County, Alabama",0.6,0.6,0.6,0.6,3.9,1.8
"Cullman County, Alabama",0.4,0.2,1,0.4,0.7,0.2
"Dale County, Alabama",0.2,0.2,0.6,0.3,1.1,0.6
"Dallas County, Alabama",0.5,0.5,1.4,1.2,1,0.4
"DeKalb County, Alabama",0.1,0.1,0.6,0.4,1.4,0.4
"Elmore County, Alabama",0.2,0.2,0.5,0.3,1,0.3
"Escambia County, Alabama",0.1,0.1,0.2,0.2,1.3,0.8
"Etowah County, Alabama",0.3,0.2,0.3,0.2,1.1,0.4
"Fayette County, Alabama",0.4,0.4,0.7,0.7,1.3,0.8
"Franklin County, Alabama",0.1,0.2,0.7,0.8,6.3,2
"Geneva County, Alabama",0,0.4,0.5,0.3,2.9,1.5
"Greene County, Alabama",0.8,1.1,0,1.3,4.1,2.6
"Hale County, Alabama",0.5,0.5,0.6,0.5,3.1,1.6
"Henry County, Alabama",0.1,0.2,0,0.6,0.5,0.4
"Houston County, Alabama",0.1,0.1,0.4,0.1,1.2,0.2
"Jackson County, Alabama",0.4,0.3,0.5,0.3,2.1,0.6
"Jefferson County, Alabama",0.5,0.2,0.9,0.2,1.3,0.2
"Lamar County, Alabama",0.2,0.3,1,1.2,2.6,1.5
"Lauderdale County, Alabama",0.4,0.2,0.7,0.3,1.1,0.4
"Lawrence County, Alabama",0.3,0.3,0.6,0.4,3.8,1.4
"Lee County, Alabama",0.2,0.1,0.6,0.2,2,0.5
"Limestone County, Alabama",0.4,0.3,0.8,0.4,1.2,0.6
"Lowndes County, Alabama",0.3,0.3,0.7,0.9,1.7,1.3
"Macon County, Alabama",0.4,0.3,0.4,0.4,1.3,0.7
"Madison County, Alabama",0.2,0.1,0.4,0.1,0.9,0.2
"Marengo County, Alabama",0.1,0.2,1.2,2.3,2.2,2.2
"Marion County, Alabama",1,1.1,1.5,1.2,2,0.8
"Marshall County, Alabama",0.3,0.2,0.5,0.2,1.2,0.4
"Mobile County, Alabama",0.2,0.1,0.5,0.1,1.5,0.2
"Monroe County, Alabama",0.3,0.4,0,0.5,1.5,0.8
"Montgomery County, Alabama",0.4,0.2,0.6,0.2,1.4,0.3
"Morgan County, Alabama",0.4,0.4,0.7,0.5,1.8,0.5
"Perry County, Alabama",2,2.9,2,2.9,5.7,4
"Pickens County, Alabama",0.1,0.2,1,0.9,2,1
"Pike County, Alabama",0.1,0.1,0.3,0.2,1.3,0.7
"Randolph County, Alabama",1.2,0.8,1.1,0.8,2.2,1.1
"Russell County, Alabama",0.2,0.2,0.3,0.2,1.3,0.4
"St. Clair County, Alabama",0.1,0.2,0.5,0.5,1.3,0.6
"Shelby County, Alabama",0.4,0.2,0.5,0.2,1,0.2
"Sumter County, Alabama",0.2,0.4,0.7,0.8,1.9,1.4
