GEO_ID,NAME,K201701_001E,K201701_001M,K201701_002E,K201701_002M,K201701_003E,K201701_003M,K201701_004E,K201701_004M,K201701_005E,K201701_005M,K201701_006E,K201701_006M,K201701_007E,K201701_007M,K201701_008E,K201701_008M,K201701_009E,K201701_009M
Geography,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Income in the past 12 months below poverty level:,Margin of Error!!Total:!!Income in the past 12 months below poverty level:,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Under 18 years,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Under 18 years,Estimate!!Total:!!Income in the past 12 months below poverty level:!!18 to 64 years,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!18 to 64 years,Estimate!!Total:!!Income in the past 12 months below poverty level:!!65 years and over,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!65 years and over,Estimate!!Total:!!Income in the past 12 months at or above poverty level:,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Under 18 years,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Under 18 years,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!18 to 64 years,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!18 to 64 years,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!65 years and over,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!65 years and over
0500000US01001,"Autauga County, Alabama",58601,548,3648,1933,808,747,2479,1417,361,293,54953,2018,12800,967,33270,1419,8883,553
0500000US01003,"Baldwin County, Alabama",235395,2413,25321,5128,8633,2679,14091,3068,2597,1106,210074,5512,40988,2596,121389,4057,47697,1841
0500000US01005,"Barbour County, Alabama",21787,946,2636,1098,766,669,1515,572,355,210,19151,1475,4364,669,10701,974,4086,462
0500000US01007,"Bibb County, Alabama",21544,1444,4394,1874,1901,835,2427,1206,66,100,17150,2186,2404,939,10803,1648,3943,1100
0500000US01009,"Blount County, Alabama",58342,591,5840,1742,1439,817,3563,1128,838,449,52502,1910,11804,939,31046,1134,9652,481
0500000US01013,"Butler County, Alabama",19089,1472,3945,1231,1284,744,2167,653,494,304,15144,1872,2891,903,9151,1219,3102,517
0500000US01015,"Calhoun County, Alabama",112672,1593,22325,3999,6061,1743,13716,2610,2548,963,90347,4069,18308,1846,53914,2634,18125,1018
0500000US01017,"Chambers County, Alabama",34049,532,6320,2152,2681,1704,2922,1070,717,555,27729,2240,4468,1703,16664,1211,6597,607
0500000US01019,"Cherokee County, Alabama",25067,2441,5656,2121,1517,784,3293,1221,846,454,19411,2778,2524,1084,12111,2076,4776,811
0500000US01021,"Chilton County, Alabama",44774,682,6213,2138,1641,938,3829,1412,743,537,38561,2214,8721,857,23472,1599,6368,554
0500000US01025,"Clarke County, Alabama",20019,2661,3359,1170,889,516,1788,702,682,298,16660,2559,3134,1033,10206,1717,3320,689
0500000US01031,"Coffee County, Alabama",53308,554,9163,1813,3597,1062,4532,1056,1034,496,44145,2039,9069,1155,27237,1015,7839,733
0500000US01033,"Colbert County, Alabama",57180,156,10343,2788,3034,1050,5391,1668,1918,973,46837,2781,8968,1115,28010,1734,9859,911
0500000US01039,"Covington County, Alabama",37141,265,7565,1799,2480,927,3953,1038,1132,508,29576,1798,6011,961,17016,1266,6549,703
0500000US01043,"Cullman County, Alabama",89142,398,11571,3318,3142,1491,5709,1840,2720,1034,77571,3277,16538,1465,47153,1801,13880,1139
0500000US01045,"Dale County, Alabama",48121,698,6818,1671,1840,734,4008,1197,970,464,41303,1919,9129,1052,24555,1348,7619,577
0500000US01047,"Dallas County, Alabama",37075,428,9505,2721,3636,1305,4560,1515,1309,552,27570,2784,4901,1330,16749,1595,5920,591
0500000US01049,"DeKalb County, Alabama",70677,640,15075,3255,6240,1913,7380,1958,1455,602,55602,3202,10904,1881,34053,1989,10645,748
0500000US01051,"Elmore County, Alabama",84167,1775,9684,2725,2777,1605,5587,1693,1320,575,74483,3225,16370,1782,44968,2013,13145,830
0500000US01053,"Escambia County, Alabama",35344,818,9046,2691,2701,1224,5020,1793,1325,556,26298,2728,4666,1094,15903,1898,5729,522
0500000US01055,"Etowah County, Alabama",102187,504,17216,3378,5033,1818,9733,1937,2450,702,84971,3335,16972,1825,51203,1953,16796,710
0500000US01059,"Franklin County, Alabama",31722,192,6668,2484,2023,1090,3681,1410,964,767,25054,2491,6042,1144,14764,1422,4248,712
0500000US01061,"Geneva County, Alabama",25568,2518,6543,2195,1508,815,4047,1494,988,408,19025,2529,4101,1165,10504,1504,4420,757
0500000US01069,"Houston County, Alabama",106212,566,20778,2347,6694,1275,11554,1300,2530,433,85434,2321,17363,1261,51068,1293,17003,504
0500000US01071,"Jackson County, Alabama",52226,438,11834,2839,4198,1539,6661,1758,975,518,40392,2787,6483,1560,23988,1774,9921,565
0500000US01073,"Jefferson County, Alabama",655081,2221,109044,9614,35899,5116,60586,5991,12559,1763,546037,9388,116254,5127,334415,5787,95368,1797
0500000US01077,"Lauderdale County, Alabama",92247,933,15696,3873,4885,1797,9411,2277,1400,885,76551,3924,13983,1751,45444,2291,17124,951
