"Label (Grouping)","Total:","Total:!!Built 2020 or later","Total:!!Built 2010 to 2019","Total:!!Built 2000 to 2009","Total:!!Built 1990 to 1999","Total:!!Built 1980 to 1989","Total:!!Built 1970 to 1979","Total:!!Built 1960 to 1969","Total:!!Built 1950 to 1959","Total:!!Built 1940 to 1949","Total:!!Built 1939 or earlier"
"Adams County, Illinois","","","","","","","","","","",""
"    Estimate","30,283","86","1,413","2,347","2,848","2,122","4,090","3,814","4,217","2,199","7,147"
"Alexander County, Illinois","","","","","","","","","","",""
"    Estimate","2,964","0","149","150","377","261","525","394","261","249","598"
"Bond County, Illinois","","","","","","","","","","",""
"    Estimate","6,892","12","396","880","953","646","900","685","389","605","1,426"
"Boone County, Illinois","","","","","","","","","","",""
"    Estimate","20,238","106","772","4,094","3,630","1,625","2,718","1,537","1,471","580","3,705"
"Brown County, Illinois","","","","","","","","","","",""
"    Estimate","2,321","12","73","198","260","107","370","142","232","187","740"
"Bureau County, Illinois","","","","","","","","","","",""
"    Estimate","15,646","13","399","839","1,035","907","2,307","1,774","1,782","1,387","5,203"
"Calhoun County, Illinois","","","","","","","","","","",""
"    Estimate","2,298","5","55","267","337","211","245","177","154","67","780"
"Carroll County, Illinois","","","","","","","","","","",""
"    Estimate","8,190","12","191","737","824","680","775","746","899","584","2,742"
"Cass County, Illinois","","","","","","","","","","",""
"    Estimate","5,665","42","117","467","730","429","879","633","533","430","1,405"
"Champaign County, Illinois","","","","","","","","","","",""
"    Estimate","94,351","706","11,696","13,924","11,714","11,028","13,258","10,006","8,136","3,030","10,853"
"Christian County, Illinois","","","","","","","","","","",""
"    Estimate","15,190","27","302","922","1,522","1,101","2,753","1,443","1,429","914","4,777"
"Clark County, Illinois","","","","","","","","","","",""
"    Estimate","7,333","0","382","720","459","825","1,234","905","719","360","1,729"
"Clay County, Illinois","","","","","","","","","","",""
"    Estimate","6,147","21","467","611","983","540","667","582","706","435","1,135"
"Clinton County, Illinois","","","","","","","","","","",""
"    Estimate","15,677","98","936","2,193","1,795","2,017","2,682","1,589","1,349","793","2,225"
"Coles County, Illinois","","","","","","","","","","",""
"    Estimate","22,717","35","1,007","1,710","2,686","2,367","3,565","2,314","2,718","1,037","5,278"
"Cook County, Illinois","","","","","","","","","","",""
"    Estimate","2,270,349","7,617","92,794","174,889","143,888","168,009","280,324","285,461","327,665","155,239","634,463"
"Crawford County, Illinois","","","","","","","","","","",""
"    Estimate","8,461","12","463","650","849","629","1,207","804","1,254","746","1,847"
"Cumberland County, Illinois","","","","","","","","","","",""
"    Estimate","4,720","11","207","455","518","419","668","617","508","370","947"
"DeKalb County, Illinois","","","","","","","","","","",""
"    Estimate","41,499","172","1,449","9,023","5,912","3,135","6,402","4,637","2,956","1,201","6,612"
"De Witt County, Illinois","","","","","","","","","","",""
"    Estimate","7,312","18","224","484","456","513","1,194","853","829","596","2,145"
"Douglas County, Illinois","","","","","","","","","","",""
"    Estimate","8,492","57","495","730","962","559","1,226","990","1,007","342","2,124"
"DuPage County, Illinois","","","","","","","","","","",""
"    Estimate","366,099","1,866","16,293","31,689","54,189","63,181","84,288","48,390","36,961","9,457","19,785"
"Edgar County, Illinois","","","","","","","","","","",""
"    Estimate","8,236","10","327","689","619","561","1,471","770","964","473","2,352"
"Edwards County, Illinois","","","","","","","","","","",""
"    Estimate","3,045","16","171","257","176","292","557","243","384","285","664"
"Effingham County, Illinois","","","","","","","","","","",""
"    Estimate","15,336","159","1,322","1,508","2,334","1,816","2,676","1,165","1,286","816","2,254"
"Fayette County, Illinois","","","","","","","","","","",""
"    Estimate","8,849","33","476","743","1,083","844","1,304","849","1,031","501","1,985"
"Ford County, Illinois","","","","","","","","","","",""
"    Estimate","6,263","40","218","213","310","356","797","646","1,088","382","2,213"
"Franklin County, Illinois","","","","","","","","","","",""
"    Estimate","18,468","65","817","1,464","1,623","1,511","2,670","2,130","2,189","1,929","4,070"
"Fulton County, Illinois","","","","","","","","","","",""
