"Label (Grouping)","Total:","Total:!!Complete plumbing facilities:","Total:!!Complete plumbing facilities:!!1.00 or less occupants per room:","Total:!!Complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1950 or later","Total:!!Complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1940 to 1949","Total:!!Complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1939 or earlier","Total:!!Complete plumbing facilities:!!1.01 or more occupants per room:","Total:!!Complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1950 or later","Total:!!Complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1940 to 1949","Total:!!Complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1939 or earlier","Total:!!Lacking complete plumbing facilities:","Total:!!Lacking complete plumbing facilities:!!1.00 or less occupants per room:","Total:!!Lacking complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1950 or later","Total:!!Lacking complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1940 to 1949","Total:!!Lacking complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1939 or earlier","Total:!!Lacking complete plumbing facilities:!!1.01 or more occupants per room:","Total:!!Lacking complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1950 or later","Total:!!Lacking complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1940 to 1949","Total:!!Lacking complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1939 or earlier"
"Adams County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","27,770","27,679","27,226","18,797","1,980","6,449","453","403","10","40","91","91","80","0","11","0","0","0","0"
"Alexander County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,826","1,824","1,804","1,355","151","298","20","15","0","5","2","2","2","0","0","0","0","0","0"
"Bond County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","6,256","6,244","6,132","4,357","559","1,216","112","106","0","6","12","12","11","0","1","0","0","0","0"
"Boone County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","19,155","18,975","18,616","14,809","509","3,298","359","297","0","62","180","169","165","0","4","11","11","0","0"
"Brown County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","2,021","2,015","1,999","1,194","187","618","16","7","0","9","6","0","0","0","0","6","6","0","0"
"Bureau County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","14,011","13,978","13,777","8,061","1,238","4,478","201","142","10","49","33","33","13","0","20","0","0","0","0"
"Calhoun County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,222","1,221","1,202","860","40","302","19","17","0","2","1","1","1","0","0","0","0","0","0"
"Carroll County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","6,478","6,472","6,401","3,688","536","2,177","71","31","0","40","6","6","3","0","3","0","0","0","0"
"Cass County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","5,135","5,119","5,003","3,353","411","1,239","116","111","5","0","16","16","11","5","0","0","0","0","0"
"Champaign County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","83,777","83,657","83,109","70,740","2,683","9,686","548","429","13","106","120","93","65","14","14","27","0","20","7"
"Christian County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","13,534","13,521","13,416","8,637","796","3,983","105","26","2","77","13","13","2","2","9","0","0","0","0"
"Clark County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","6,597","6,597","6,528","4,748","335","1,445","69","65","0","4","0","0","0","0","0","0","0","0","0"
"Clay County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","5,431","5,431","5,333","4,062","413","858","98","94","0","4","0","0","0","0","0","0","0","0","0"
"Clinton County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","14,463","14,413","14,067","11,500","753","1,814","346","220","9","117","50","50","44","0","6","0","0","0","0"
"Coles County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","20,335","20,016","19,563","14,076","950","4,537","453","431","0","22","319","319","74","36","209","0","0","0","0"
"Cook County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","2,084,578","2,077,056","2,008,112","1,325,828","135,614","546,670","68,944","46,384","4,858","17,702","7,522","7,168","3,715","715","2,738","354","201","81","72"
"Crawford County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","7,411","7,380","7,260","5,139","641","1,480","120","115","0","5","31","31","28","0","3","0","0","0","0"
"Cumberland County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","4,180","4,174","4,141","3,015","329","797","33","19","0","14","6","6","3","0","3","0","0","0","0"
"DeKalb County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","39,314","39,278","38,376","31,313","1,136","5,927","902","804","14","84","36","35","21","0","14","1","1","0","0"
"De Witt County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","6,642","6,635","6,585","4,182","518","1,885","50","23","0","27","7","7","1","0","6","0","0","0","0"
"Douglas County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","7,821","7,807","7,571","5,259","325","1,987","236","228","2","6","14","14","8","0","6","0","0","0","0"
"DuPage County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","349,497","348,683","339,721","312,213","8,861","18,647","8,962","8,457","130","375","814","793","693","80","20","21","21","0","0"
"Edgar County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","7,612","7,612","7,505","4,925","443","2,137","107","78","2","27","0","0","0","0","0","0","0","0","0"
"Edwards County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","2,653","2,644","2,606","1,889","265","452","38","35","0","3","9","9","5","0","4","0","0","0","0"
"Effingham County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","14,030","13,996","13,529","10,963","668","1,898","467","371","16","80","34","34","32","0","2","0","0","0","0"
"Fayette County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","7,832","7,808","7,546","5,506","413","1,627","262","207","12","43","24","24","20","0","4","0","0","0","0"
"Ford County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","5,728","5,686","5,633","3,376","339","1,918","53","43","0","10","42","42","8","0","34","0","0","0","0"
"Franklin County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","16,130","16,062","15,768","10,963","1,707","3,098","294","220","16","58","68","68","65","0","3","0","0","0","0"
"Fulton County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","13,902","13,898","13,813","8,824","992","3,997","85","60","0","25","4","4","0","0","4","0","0","0","0"
"Gallatin County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","2,096","2,087","2,056","1,592","177","287","31","19","1","11","9","9","7","2","0","0","0","0","0"
"Greene County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","4,514","4,502","4,481","2,646","276","1,559","21","13","0","8","12","12","8","0","4","0","0","0","0"
"Grundy County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","20,518","20,458","20,081","17,085","619","2,377","377","359","8","10","60","60","50","7","3","0","0","0","0"
"Hamilton County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","3,350","3,345","3,334","2,398","440","496","11","5","0","6","5","5","0","0","5","0","0","0","0"
"Hancock County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","7,515","7,509","7,465","4,821","351","2,293","44","20","4","20","6","6","0","0","6","0","0","0","0"
"Hardin County, Illinois","","","","","","","","","","","","","","","","","","",""
