Facility,Latitude,Longitude,Chemical,Onsite,Offsite,Total_On_Offsite
"A FINKL & SONS CO DBA FINKL STEEL - CHICAGO.1355 E 93RD ST, CHICAGO ILLINOIS 60619 (COOK)",41.727,-87.59,Lead,17.11,3493.0,3510.11
"AALLIED DIE CASTING CO. OF IL.3021 CULLERTON DR, FRANKLIN PARK ILLINOIS 60131 (COOK)",41.934,-87.891,Lead,1.3,0.0,1.3
"ABLE DIE CASTING CORP.3907 WESLEY TERRACE, SCHILLER PARK ILLINOIS 60176 (COOK)",41.95,-87.863,Lead,0.63,0.0,0.63
"ABLE ELECTROPOLISHING CO INC.2001 S KILBOURN AVE, CHICAGO ILLINOIS 60623 (COOK)",41.854,-87.736,Lead,0.0,8.9,8.9
"ACCELERATED ASSEMBLIES INC.725 NICHOLAS BLVD, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",42.015,-87.951,Lead,0.0,0.0,0.0
"ACCURATE DISPERSIONS.1111 MAPLE AVE, HOMEWOOD ILLINOIS 60430 (COOK)",41.567,-87.645,Lead,0.0,4.8,4.8
"ACCURATE DISPERSIONS.192 W 155TH ST, SOUTH HOLLAND ILLINOIS 60473 (COOK)",41.614,-87.622,Lead,0.0,42.8,42.8
"ACE ANODIZING & IMPREGNATING INC.4161 BUTTERFIELD RD, HILLSIDE ILLINOIS 60162 (COOK)",41.881,-87.888,Lead compounds,0.0,117.06,117.06
"ACME ALLIANCE LLC.3610 COMMERCIAL AVE, NORTHBROOK ILLINOIS 60062 (COOK)",42.147,-87.868,Lead,0.0,1.0,1.0
"ALLIED METAL CO.4528 W DIV ST, CHICAGO ILLINOIS 60651 (COOK)",41.903,-87.739,Lead,2.0,0.0,2.0
"ALLIED TUBE & CONDUIT CORP..16100 S LATHROP AVE, HARVEY ILLINOIS 60426 (COOK)",41.596,-87.642,Lead compounds,0.0,23.13,23.13
"AMITRON CORP.2001 LANDMEIER RD, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",42.01,-87.953,Lead,122.74,4.697,127.437
"AMPEL INC..925 ESTES AVE, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",42.006,-87.974,Lead,1.1,7.78,8.88
"ARC-TRONICS INC.1150 PAGNI DR, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",42.028,-87.967,Lead compounds,4.0,0.0,4.0
"ARDAGH GLASS INC.13850 COTTAGE GROVE AVE, DOLTON ILLINOIS 60419 (COOK)",41.642,-87.6,Lead compounds,396.1,127.99,524.09
"ARDAGH METAL BEVERAGE USA INC RE : CHICAGO PLANT.1101 W 43RD ST, CHICAGO ILLINOIS 60609 (COOK)",41.815,-87.654,Lead,0.0,30.5,30.5
"ARLINGTON PLATING ACQUISITION CO.600 S VERMONT ST, PALATINE ILLINOIS 60078 (COOK)",42.099,-88.038,Lead compounds,0.0,54.39,54.39
"ATLAS TUBE INC.1855 E 122ND ST, CHICAGO ILLINOIS 60633 (COOK)",41.672,-87.578,Lead,1.0,5.0,6.0
"BEAVER OIL LLC.6037 LENZI AVE, HODGKINS ILLINOIS 60525 (COOK)",41.779,-87.857,Lead compounds,0.0,641.61,641.61
"BEFESA ZINC US INC..2701 E 114TH ST, CHICAGO ILLINOIS 60617 (COOK)",41.687,-87.555,Lead compounds,287.11,30441.79,30728.9
"BELMONT PLATING WORKS.3410 N RIVER RD, FRANKLIN PARK ILLINOIS 60131 (COOK)",41.94,-87.854,Lead compounds,0.0,923.72,923.72
"BORGWARNER TRANSMISSION SYSTEMS.700 25TH AVE, BELLWOOD ILLINOIS 60104 (COOK)",41.88,-87.865,Lead,0.0,26.0,26.0
"C.E. NIEHOFF & CO..2021 LEE ST, EVANSTON ILLINOIS 60202 (COOK)",42.036,-87.702,Lead,0.0,0.0,0.0
"CENTURY PLATING CO INC..2939 N OAKLEY, CHICAGO ILLINOIS 60618 (COOK)",41.935,-87.685,Lead compounds,0.0,45.0,45.0
