State,County,Total Population of Children <72 Months of Age,Number of Children Tested <72 Months of Age,Number of Children with Confirmed BLLs ³5 µg/dL,Percent of Children with Confirmed BLLs ³5 µg/dL,Number of Children with Confirmed BLLs ³10 µg/dL,Percent of Children with Confirmed BLLs ³10 µg/dL,Number of Children with Confirmed BLLs 5-9 µg/dL,Number of Children with Confirmed BLLs 10-14 µg/dL,Number of Children with Confirmed BLLs 15-19 µg/dL,Number of Children with Confirmed BLLs 20-24 µg/dL,Number of Children with Confirmed BLLs 25-44 µg/dL,Number of Children with Confirmed BLLs ³45 µg/dL
AL,Autauga,4045,238,SD,SD,SD,SD,0,SD,0,0,0,0
AL,Baldwin,14651,552,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Barbour,1571,268,SD,SD,SD,SD,0,SD,SD,0,0,0
AL,Bibb,1459,105,SD,SD,SD,SD,0,SD,0,0,0,0
AL,Blount,4148,365,0,0.00%,0,0.00%,0,0,0,0,0,0
AL,Bullock,657,162,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Butler,1328,127,SD,SD,SD,SD,0,0,0,SD,0,0
AL,Calhoun,7799,398,8,2.00%,SD,SD,6,SD,0,0,0,0
AL,Chambers,2164,144,SD,SD,SD,SD,SD,SD,0,0,0,0
AL,Cherokee,1470,105,0,0.00%,0,0.00%,0,0,0,0,0,0
AL,Chilton,3256,348,SD,SD,SD,SD,SD,SD,0,0,0,0
AL,Choctaw,803,54,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Clarke,1586,229,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Clay,869,53,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Cleburne,1080,37,0,0.00%,0,0.00%,0,0,0,0,0,0
AL,Coffee,3862,509,6,1.20%,SD,SD,SD,SD,0,0,0,0
AL,Colbert,3806,438,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Conecuh,742,43,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Coosa,548,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
AL,Covington,2561,306,SD,SD,SD,SD,SD,SD,SD,0,0,0
AL,Crenshaw,937,95,6,6.30%,SD,SD,SD,SD,0,0,0,0
AL,Cullman,6090,545,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Dale,3909,556,7,1.30%,0,0.00%,7,0,0,0,0,0
AL,Dallas,2541,384,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,DeKalb,5173,168,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Elmore,5627,341,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Escambia,2636,111,0,0.00%,0,0.00%,0,0,0,0,0,0
AL,Etowah,7136,487,15,3.10%,6,1.20%,9,SD,SD,SD,0,0
AL,Fayette,1104,51,0,0.00%,0,0.00%,0,0,0,0,0,0
AL,Franklin,2616,305,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Geneva,1739,251,SD,SD,SD,SD,SD,SD,0,0,0,0
AL,Greene,538,68,0,0.00%,0,0.00%,0,0,0,0,0,0
AL,Hale,1155,75,0,0.00%,0,0.00%,0,0,0,0,0,0
AL,Henry,1043,138,SD,SD,SD,SD,0,SD,0,0,0,0
AL,Houston,7975,1280,13,1.00%,SD,SD,11,SD,0,0,SD,0
AL,Jackson,3356,465,SD,SD,SD,SD,SD,SD,0,0,0,0
AL,Jefferson,50059,4267,67,1.60%,17,0.40%,50,9,SD,SD,SD,0
AL,Lamar,973,36,0,0.00%,0,0.00%,0,0,0,0,0,0
AL,Lauderdale,5812,285,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Lawrence,2175,194,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Lee,11364,667,9,1.30%,SD,SD,SD,SD,SD,0,0,0
AL,Limestone,6819,394,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Lowndes,709,68,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Macon,1060,130,SD,SD,SD,SD,SD,SD,0,0,0,0
AL,Madison,26679,1100,0,0.00%,0,0.00%,0,0,0,0,0,0
AL,Marengo,1347,137,0,0.00%,0,0.00%,0,0,0,0,0,0
AL,Marion,1899,107,0,0.00%,0,0.00%,0,0,0,0,0,0
AL,Marshall,8289,783,10,1.30%,SD,SD,8,0,SD,SD,0,0
AL,Mobile,32399,3636,59,1.60%,18,0.50%,41,9,SD,SD,SD,0
AL,Monroe,1226,119,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Montgomery,18249,1735,21,1.20%,SD,SD,17,SD,SD,0,0,0
AL,Morgan,8717,767,7,0.90%,SD,SD,SD,SD,0,0,SD,0
AL,Perry,567,76,0,0.00%,0,0.00%,0,0,0,0,0,0
AL,Pickens,1242,63,SD,SD,SD,SD,0,SD,0,0,0,0
AL,Pike,2107,354,28,7.90%,9,2.50%,19,6,SD,SD,0,0
AL,Randolph,1536,149,SD,SD,SD,SD,SD,SD,0,SD,0,0
AL,Russell,4827,406,SD,SD,SD,SD,SD,0,0,0,0,SD
AL,St. Clair,6229,179,SD,SD,SD,SD,SD,SD,0,0,0,0
AL,Shelby,14702,750,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Sumter,857,49,0,0.00%,0,0.00%,0,0,0,0,0,0
AL,Talladega,5192,99,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Tallapoosa,2531,116,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Tuscaloosa,14825,1102,8,0.70%,SD,SD,SD,SD,0,SD,0,SD
AL,Walker,4631,378,SD,SD,SD,SD,SD,0,SD,0,0,0
AL,Washington,1098,130,0,0.00%,0,0.00%,0,0,0,0,0,0
AL,Wilcox,765,114,SD,SD,SD,SD,SD,SD,0,0,0,0
AL,Winston,1498,167,SD,SD,0,0.00%,SD,0,0,0,0,0
AL,Unknown,0,11860,18,0.20%,SD,SD,13,SD,SD,0,SD,0
AK,Aleutians East,69,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,Aleutians West (CA),219,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,Anchorage,23582,2257,SD,SD,SD,SD,SD,0,SD,0,0,0
AK,Bethel (CA),2370,472,SD,SD,0,0.00%,SD,0,0,0,0,0
AK,Bristol Bay,63,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,Denali,99,14,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,Dillingham (CA),535,41,SD,SD,0,0.00%,SD,0,0,0,0,0
AK,Fairbanks North Star,8138,561,SD,SD,0,0.00%,SD,0,0,0,0,0
AK,Haines,139,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,Juneau,2074,53,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,Kenai Peninsula,4217,65,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,Ketchikan Gateway,878,33,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,Kodiak Island,1055,13,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,Lake and Peninsula,160,0,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,Matanuska-Susitna,8866,315,SD,SD,0,0.00%,SD,0,0,0,0,0
AK,Nome (CA),1130,24,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,North Slope,893,24,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,Northwest Arctic,935,49,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,Sitka,498,8,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,Southeast Fairbanks (CA),631,34,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,Yakutat,43,0,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,Yukon-Koyukuk (CA),478,15,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,Unknown,0,473,SD,SD,0,0.00%,SD,0,0,0,0,0
CT ,Fairfield,61352,17844,259,1.50%,66,0.40%,193,46,8,8,SD,SD
CT ,Hartford,57353,13198,183,1.40%,58,0.40%,125,33,12,10,SD,0
CT ,Litchfield,8971,1922,37,1.90%,7,0.40%,30,SD,0,SD,0,0
CT ,Middlesex,7918,1776,13,0.70%,SD,SD,8,SD,0,0,SD,0
CT ,New Haven,52455,14696,353,2.40%,108,0.70%,245,60,15,15,17,SD
CT ,New London,15503,3315,84,2.50%,20,0.60%,64,10,SD,SD,SD,SD
CT ,Tolland,7427,1652,14,0.80%,SD,SD,10,SD,0,0,SD,0
CT ,Windham,6750,1714,58,3.40%,19,1.10%,39,13,SD,SD,SD,0
CT ,Unknown,0,388,37,9.50%,9,2.30%,28,7,SD,0,0,0
DE,Kent,13534,1334,13,1.00%,0,0.00%,13,0,0,0,0,0
DE,New Castle,37953,4259,86,2.00%,22,0.50%,64,13,6,SD,SD,0
DE,Sussex,14183,1409,17,1.20%,6,0.40%,11,SD,SD,SD,0,0
DE,Unknown,0,2067,18,0.90%,SD,SD,16,SD,0,SD,0,0
WA,District of Columbia,52857,11359,80,0.70%,14,0.10%,66,9,SD,SD,SD,0
WA,Unknown,0,1793,9,0.50%,SD,SD,6,SD,SD,0,0,0
FL,Alachua,16431,2078,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Baker,2184,130,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Bay,11362,332,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Bradford,1773,240,SD,SD,SD,SD,SD,0,SD,0,0,0
FL,Brevard,33409,3353,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Broward,133258,10916,19,0.20%,8,0.10%,11,SD,SD,0,SD,SD
FL,Calhoun,811,54,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Charlotte,6752,641,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Citrus,6713,859,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Clay,14724,864,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Collier,20099,3493,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Columbia,4988,275,SD,SD,SD,SD,0,SD,SD,0,0,0
FL,DeSoto,2286,93,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Dixie,938,126,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Duval,77111,5327,29,0.50%,8,0.20%,21,6,SD,0,0,0
FL,Escambia,22952,962,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Flagler,5488,254,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Franklin,606,98,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Gadsden,3196,584,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Gilchrist,1228,174,SD,SD,SD,SD,0,SD,0,0,0,0
FL,Glades,510,83,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Gulf,765,137,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Hamilton,925,26,0,0.00%,0,0.00%,0,0,0,0,0,0
FL,Hardee,2178,482,SD,SD,SD,SD,SD,SD,0,0,0,0
