State,County,Percent of Children with Confirmed BLLs ³5 µg/dL
AL,Autauga,SD
AL,Baldwin,SD
AL,Barbour,SD
AL,Bibb,SD
AL,Blount,0.00%
AL,Bullock,SD
AL,Butler,SD
AL,Calhoun,2.00%
AL,Chambers,SD
AL,Cherokee,0.00%
AL,Chilton,SD
AL,Choctaw,SD
AL,Clarke,SD
AL,Clay,SD
AL,Cleburne,0.00%
AL,Coffee,1.20%
AL,Colbert,SD
AL,Conecuh,SD
AL,Coosa,0.00%
AL,Covington,SD
AL,Crenshaw,6.30%
AL,Cullman,SD
AL,Dale,1.30%
AL,Dallas,SD
AL,DeKalb,SD
AL,Elmore,SD
AL,Escambia,0.00%
AL,Etowah,3.10%
AL,Fayette,0.00%
AL,Franklin,SD
AL,Geneva,SD
AL,Greene,0.00%
AL,Hale,0.00%
AL,Henry,SD
AL,Houston,1.00%
AL,Jackson,SD
AL,Jefferson,1.60%
AL,Lamar,0.00%
AL,Lauderdale,SD
AL,Lawrence,SD
AL,Lee,1.30%
AL,Limestone,SD
AL,Lowndes,SD
AL,Macon,SD
AL,Madison,0.00%
AL,Marengo,0.00%
AL,Marion,0.00%
AL,Marshall,1.30%
AL,Mobile,1.60%
AL,Monroe,SD
AL,Montgomery,1.20%
AL,Morgan,0.90%
AL,Perry,0.00%
AL,Pickens,SD
AL,Pike,7.90%
AL,Randolph,SD
AL,Russell,SD
AL,St. Clair,SD
AL,Shelby,SD
AL,Sumter,0.00%
AL,Talladega,SD
AL,Tallapoosa,SD
AL,Tuscaloosa,0.70%
AL,Walker,SD
AL,Washington,0.00%
AL,Wilcox,SD
AL,Winston,SD
AL,Unknown,0.20%
AK,Aleutians East,0.00%
AK,Aleutians West,0.00%
AK,Anchorage Municipality,SD
AK,Bethel,SD
AK,Bristol Bay,0.00%
AK,Denali,0.00%
AK,Dillingham,SD
AK,Fairbanks North Star Borough,SD
AK,Haines,0.00%
AK,Juneau City and Borough,0.00%
AK,Kenai Peninsula Borough,0.00%
AK,Ketchikan Gateway,0.00%
AK,Kodiak Island,0.00%
AK,Matanuska-Susitna Borough,SD
AK,Nome (CA),0.00%
AK,North Slope,0.00%
AK,Northwest Arctic,0.00%
AK,Sitka,0.00%
AK,Southeast Fairbanks (CA),0.00%
AK,Yukon-Koyukuk (CA),0.00%
AK,Unknown,SD
CT ,Fairfield,1.50%
CT ,Hartford,1.40%
CT ,Litchfield,1.90%
CT ,Middlesex,0.70%
CT ,New Haven,2.40%
CT ,New London,2.50%
CT ,Tolland,0.80%
CT ,Windham,3.40%
CT ,Unknown,9.50%
DE,Kent,1.00%
DE,New Castle,2.00%
DE,Sussex,1.20%
DE,Unknown,0.90%
WA,District of Columbia,0.70%
WA,Unknown,0.50%
FL,Alachua,SD
FL,Baker,0.00%
FL,Bay,0.00%
FL,Bradford,SD
FL,Brevard,SD
FL,Broward,0.20%
FL,Calhoun,0.00%
FL,Charlotte,SD
FL,Citrus,0.00%
FL,Clay,0.00%
FL,Collier,SD
FL,Columbia,SD
FL,DeSoto,0.00%
FL,Dixie,SD
FL,Duval,0.50%
FL,Escambia,SD
FL,Flagler,0.00%
FL,Franklin,0.00%
FL,Gadsden,SD
FL,Gilchrist,SD
FL,Glades,0.00%
FL,Gulf,SD
FL,Hamilton,0.00%
FL,Hardee,SD
FL,Hendry,SD
FL,Hernando,SD
FL,Highlands,0.50%
FL,Hillsborough,0.30%
FL,Holmes,0.00%
FL,Indian River,0.00%
FL,Jackson,SD
FL,Jefferson,SD
FL,Lafayette,0.00%
FL,Lake,0.40%
FL,Lee,0.30%
FL,Leon,SD
FL,Levy,0.00%
FL,Liberty,0.00%
FL,Madison,SD
FL,Manatee,SD
FL,Marion,SD
FL,Martin,0.00%
FL,Miami-Dade,0.20%
FL,Monroe,SD
FL,Nassau,0.00%
FL,Okaloosa,0.00%
FL,Okeechobee,SD
FL,Orange,0.50%
FL,Osceola,SD
FL,Palm Beach,0.20%
FL,Pasco,0.20%
FL,Pinellas,0.20%
FL,Polk,0.10%
FL,Putnam,SD
FL,St. Johns,2.40%
FL,St. Lucie,0.20%
FL,Santa Rosa,SD
FL,Sarasota,SD
FL,Seminole,0.60%
FL,Sumter,SD
FL,Suwannee,0.00%
FL,Taylor,SD
FL,Union,0.00%
FL,Volusia,SD
FL,Wakulla,0.00%
FL,Walton,0.00%
FL,Washington,SD
FL,Unknown,SD
GA,Appling,SD
GA,Atkinson,SD
GA,Bacon,0.00%
GA,Baker,0.00%
GA,Baldwin,SD
GA,Banks,0.00%
GA,Barrow,SD
GA,Bartow,SD
GA,Ben Hill,SD
GA,Berrien,0.00%
GA,Bibb,1.00%
GA,Bleckley,0.00%
GA,Brantley,0.00%
GA,Brooks,SD
GA,Bryan,SD
GA,Bulloch,SD
GA,Burke,SD
GA,Butts,SD
GA,Calhoun,0.00%
GA,Camden,0.00%
GA,Candler,SD
GA,Carroll,0.50%
GA,Catoosa,0.00%
GA,Charlton,SD
GA,Chatham,0.80%
GA,Chattahoochee,0.00%
GA,Chattooga,SD
GA,Cherokee,SD
GA,Clarke,SD
GA,Clay,SD
GA,Clayton,0.30%
GA,Clinch,0.00%
GA,Cobb,0.40%
GA,Coffee,0.00%
GA,Colquitt,SD
GA,Columbia,SD
GA,Cook,0.00%
GA,Coweta,SD
GA,Crawford,SD
GA,Crisp,0.00%
GA,Dade,0.00%
GA,Dawson,0.00%
GA,Decatur,0.00%
GA,DeKalb,0.70%
GA,Dodge,0.00%
GA,Dooly,0.00%
GA,Dougherty,SD
GA,Douglas,SD
GA,Early,0.00%
GA,Echols,0.00%
GA,Effingham,SD
GA,Elbert,SD
GA,Emanuel,SD
GA,Evans,0.00%
GA,Fannin,0.00%
GA,Fayette,SD
GA,Floyd,2.60%
GA,Forsyth,0.70%
GA,Franklin,0.00%
GA,Fulton,0.50%
GA,Gilmer,0.00%
GA,Glascock,0.00%
GA,Glynn,SD
GA,Gordon,0.00%
GA,Grady,0.00%
GA,Greene,0.00%
GA,Gwinnett,0.30%
GA,Habersham,SD
GA,Hall,SD
GA,Hancock,0.00%
GA,Haralson,SD
GA,Harris,SD
GA,Hart,0.00%
GA,Heard,0.00%
GA,Henry,SD
GA,Houston,0.00%
GA,Irwin,SD
GA,Jackson,SD
GA,Jasper,SD
GA,Jeff Davis,0.00%
GA,Jefferson,SD
GA,Jenkins,SD
GA,Johnson,0.00%
GA,Jones,0.00%
GA,Lamar,0.00%
GA,Lanier,0.00%
GA,Laurens,SD
GA,Lee,0.00%
GA,Liberty,SD
GA,Lincoln,0.00%
GA,Long,SD
GA,Lowndes,0.00%
GA,Lumpkin,SD
GA,McDuffie,SD
GA,McIntosh,0.00%
GA,Macon,SD
GA,Madison,SD
GA,Marion,0.00%
GA,Meriwether,SD
GA,Miller,0.00%
GA,Mitchell,SD
GA,Monroe,0.00%
GA,Montgomery,0.00%
GA,Morgan,0.00%
GA,Murray,SD
GA,Muscogee,0.30%
GA,Newton,0.50%
GA,Oconee,SD
GA,Oglethorpe,SD
GA,Paulding,0.00%
GA,Peach,SD
GA,Pickens,SD
GA,Pierce,SD
GA,Pike,0.00%
GA,Polk,SD
GA,Pulaski,0.00%
GA,Putnam,0.00%
GA,Quitman,0.00%
GA,Rabun,0.00%
GA,Randolph,0.00%
GA,Richmond,1.60%
GA,Rockdale,SD
GA,Schley,0.00%
GA,Screven,SD
GA,Seminole,0.00%
GA,Spalding,1.10%
GA,Stephens,SD
GA,Stewart,0.00%
GA,Sumter,SD
GA,Talbot,0.00%
GA,Taliaferro,0.00%
GA,Tattnall,SD
GA,Taylor,SD
GA,Telfair,SD
GA,Terrell,6.70%
GA,Thomas,SD
GA,Tift,0.00%
GA,Toombs,SD
GA,Towns,0.00%
GA,Treutlen,0.00%
GA,Troup,SD
GA,Turner,SD
GA,Twiggs,0.00%
GA,Union,0.00%
GA,Upson,SD
GA,Walker,1.00%
GA,Walton,SD
GA,Ware,SD
GA,Warren,SD
GA,Washington,SD
GA,Wayne,SD
GA,Webster,SD
GA,Wheeler,0.00%
GA,White,0.00%
GA,Whitfield,0.70%
GA,Wilcox,0.00%
GA,Wilkes,SD
GA,Wilkinson,SD
GA,Worth,0.00%
GA,Unknown,0.60%
HI ,Hawaii,1.10%
HI ,Honolulu,0.20%
HI ,Kalawao,0.00%
HI ,Kauai,SD
HI ,Maui,0.60%
HI ,Unknown,0.00%
IL,Adams,5.30%
IL,Alexander,SD
IL,Bond,SD
IL,Boone,2.60%
IL,Brown,SD
IL,Bureau,4.80%
IL,Calhoun,0.00%
IL,Carroll,4.20%
IL,Cass,5.80%
IL,Champaign,1.00%
IL,Christian,2.30%
IL,Clark,SD
IL,Clay,SD
IL,Clinton,SD
IL,Coles,2.20%
IL,Cook,1.50%
IL,Crawford,SD
IL,Cumberland,SD
IL,DeKalb,1.50%
IL,De Witt,SD
IL,Douglas,SD
IL,DuPage,0.60%
IL,Edgar,4.10%
IL,Edwards,0.00%
IL,Effingham,SD
IL,Fayette,SD
IL,Ford,5.60%
IL,Franklin,SD
IL,Fulton,3.00%
IL,Gallatin,SD
IL,Greene,6.70%
IL,Grundy,SD
IL,Hamilton,SD
IL,Hancock,SD
IL,Hardin,0.00%
IL,Henderson,SD
IL,Henry,3.00%
IL,Iroquois,SD
IL,Jackson,1.50%
IL,Jasper,SD
IL,Jefferson,SD
IL,Jersey,SD
IL,Jo Daviess,5.50%
IL,Johnson,0.00%
IL,Kane,2.10%
IL,Kankakee,1.60%
IL,Kendall,SD
IL,Knox,4.50%
IL,Lake,0.60%
IL,La Salle,4.40%
IL,Lawrence,SD
IL,Lee,2.90%
IL,Livingston,1.80%
IL,Logan,3.90%
IL,McDonough,6.30%
IL,McHenry,0.30%
IL,McLean,1.60%
IL,Macon,3.40%
IL,Macoupin,1.90%
IL,Madison,1.60%
IL,Marion,SD
IL,Marshall,0.00%
IL,Mason,SD
IL,Massac,SD
IL,Menard,SD
IL,Mercer,SD
IL,Monroe,SD
IL,Montgomery,SD
IL,Morgan,2.00%
IL,Moultrie,4.30%
