State,County,lat,lng
AK,Aleutians East,55.3669,-161.9805
AK,Aleutians West,52.7985,-106.5633
AK,Anchorage,61.1498,-149.1082
AK,Bethel,60.9132,-159.8186
AK,Bristol Bay,58.7439,-156.7
AK,Chugach,60.7234,-145.7714
AK,Copper River,61.8834,-143.9681
AK,Denali,63.6714,-150.0118
AK,Dillingham,59.8003,-158.2346
AK,Fairbanks North Star,64.8078,-146.5654
AK,Haines,59.1199,-135.5002
AK,Hoonah-Angoon,58.2872,-135.6402
AK,Juneau,58.4546,-134.1733
AK,Kenai Peninsula,60.2654,-151.5651
AK,Ketchikan Gateway,55.5852,-130.9282
AK,Kodiak Island,57.6791,-153.7992
AK,Kusilvak,62.1547,-163.3812
AK,Lake and Peninsula,58.6548,-156.1891
AK,Matanuska-Susitna,62.316,-149.5729
AK,Nome,64.9111,-164.0274
AK,North Slope,69.3119,-153.4813
AK,Northwest Arctic,67.0598,-159.7062
AK,Petersburg,57.1204,-132.934
AK,Prince of Wales-Hyder,55.8011,-133.0167
AK,Sitka,57.2424,-135.3145
AK,Skagway,59.563,-135.3363
AK,Southeast Fairbanks,63.8762,-143.213
AK,Wrangell,56.3323,-132.0221
AK,Yakutat,59.8889,-140.3577
AK,Yukon-Koyukuk,65.5087,-151.3896
AL,Autauga,32.5349,-86.6427
AL,Baldwin,30.7277,-87.7226
AL,Barbour,31.8696,-85.3932
AL,Bibb,32.9986,-87.1265
AL,Blount,33.9809,-86.5674
AL,Bullock,32.1005,-85.7157
AL,Butler,31.7524,-86.6803
AL,Calhoun,33.7714,-85.826
AL,Chambers,32.9143,-85.392
AL,Cherokee,34.1759,-85.6038
AL,Chilton,32.8479,-86.7188
AL,Choctaw,32.0198,-88.2632
AL,Clarke,31.6767,-87.8308
AL,Clay,33.269,-85.8605
AL,Cleburne,33.6745,-85.5188
AL,Coffee,31.4027,-85.9882
AL,Colbert,34.7005,-87.8049
AL,Conecuh,31.4293,-86.9937
AL,Coosa,32.9362,-86.2477
AL,Covington,31.2485,-86.4513
AL,Crenshaw,31.7315,-86.3136
AL,Cullman,34.1319,-86.8676
AL,Dale,31.4318,-85.611
AL,Dallas,32.326,-87.1065
AL,DeKalb,34.4598,-85.8041
AL,Elmore,32.5966,-86.1492
AL,Escambia,31.1262,-87.1615
AL,Etowah,34.0453,-86.0348
AL,Fayette,33.7212,-87.7388
AL,Franklin,34.4417,-87.8437
AL,Geneva,31.0951,-85.8391
AL,Greene,32.8531,-87.9522
AL,Hale,32.7627,-87.6291
AL,Henry,31.5147,-85.2414
AL,Houston,31.1532,-85.3025
AL,Jackson,34.7795,-85.9994
AL,Jefferson,33.5543,-86.8964
AL,Lamar,33.7791,-88.097
AL,Lauderdale,34.9014,-87.654
AL,Lawrence,34.5217,-87.311
AL,Lee,32.6011,-85.3555
AL,Limestone,34.8101,-86.9814
AL,Lowndes,32.1547,-86.6501
AL,Macon,32.3859,-85.6927
AL,Madison,34.7631,-86.5502
AL,Marengo,32.2477,-87.7895
AL,Marion,34.1366,-87.8871
AL,Marshall,34.367,-86.3066
AL,Mobile,30.7877,-88.2058
AL,Monroe,31.5709,-87.3654
AL,Montgomery,32.2203,-86.2076
AL,Morgan,34.4535,-86.8529
AL,Perry,32.6385,-87.2944
AL,Pickens,33.2808,-88.0887
AL,Pike,31.8027,-85.9409
AL,Randolph,33.2938,-85.4591
AL,Russell,32.2884,-85.1849
AL,Shelby,33.2643,-86.6607
AL,St. Clair,33.7157,-86.3146
AL,Sumter,32.5911,-88.1988
AL,Talladega,33.3801,-86.1659
AL,Tallapoosa,32.8624,-85.7975
AL,Tuscaloosa,33.2896,-87.5251
AL,Walker,33.8033,-87.2973
AL,Washington,31.4076,-88.2079
AL,Wilcox,31.9893,-87.3082
AL,Winston,34.1492,-87.3737
AR,Arkansas,34.2892,-91.3742
AR,Ashley,33.1912,-91.7685
AR,Baxter,36.2872,-92.3369
AR,Benton,36.3387,-94.2561
AR,Boone,36.3086,-93.0915
AR,Bradley,33.4664,-92.1624
AR,Calhoun,33.5581,-92.503
AR,Carroll,36.341,-93.5382
AR,Chicot,33.267,-91.2937
AR,Clark,34.051,-93.1764
AR,Clay,36.3683,-90.4173
AR,Cleburne,35.5382,-92.0267
AR,Cleveland,33.8984,-92.1852
AR,Columbia,33.2143,-93.2273
AR,Conway,35.2624,-92.7014
AR,Craighead,35.8308,-90.6328
AR,Crawford,35.5881,-94.2428
AR,Crittenden,35.2057,-90.3078
AR,Cross,35.2957,-90.7711
AR,Dallas,33.9699,-92.6544
AR,Desha,33.8309,-91.2551
AR,Drew,33.5894,-91.72
AR,Faulkner,35.147,-92.332
AR,Franklin,35.5124,-93.8906
AR,Fulton,36.3817,-91.8182
AR,Garland,34.5767,-93.1504
AR,Grant,34.29,-92.4237
AR,Greene,36.1176,-90.5591
AR,Hempstead,33.7354,-93.6684
AR,Hot Spring,34.3177,-92.9461
AR,Howard,34.0889,-93.9936
AR,Independence,35.7416,-91.5697
AR,Izard,36.0949,-91.9134
AR,Jackson,35.5992,-91.2145
AR,Jefferson,34.2683,-91.9304
AR,Johnson,35.5697,-93.4602
AR,Lafayette,33.2416,-93.607
AR,Lawrence,36.0412,-91.107
AR,Lee,34.7805,-90.7808
AR,Lincoln,33.957,-91.7344
AR,Little River,33.7009,-94.2352
AR,Logan,35.2149,-93.7166
AR,Lonoke,34.7543,-91.8888
AR,Madison,36.011,-93.7246
AR,Marion,36.2684,-92.6842
AR,Miller,33.3124,-93.8921
AR,Mississippi,35.7624,-90.0522
AR,Monroe,34.6778,-91.2039
AR,Montgomery,34.5389,-93.6596
AR,Nevada,33.664,-93.3072
AR,Newton,35.92,-93.2179
AR,Ouachita,33.5934,-92.8819
AR,Perry,34.9475,-92.9313
AR,Phillips,34.4274,-90.8489
AR,Pike,34.1635,-93.6564
AR,Poinsett,35.574,-90.663
AR,Polk,34.4858,-94.2282
AR,Pope,35.4479,-93.0345
AR,Prairie,34.8297,-91.5528
AR,Pulaski,34.77,-92.312
AR,Randolph,36.3415,-91.0276
AR,Saline,34.6466,-92.6766
AR,Scott,34.8607,-94.0633
AR,Searcy,35.911,-92.6995
AR,Sebastian,35.1989,-94.2743
AR,Sevier,33.9972,-94.2412
AR,Sharp,36.1612,-91.4798
AR,St. Francis,35.022,-90.7478
AR,Stone,35.8599,-92.1568
AR,Union,33.1713,-92.5972
AR,Van Buren,35.5806,-92.5158
AR,Washington,35.9791,-94.2156
AR,White,35.2563,-91.7456
AR,Woodruff,35.1863,-91.2431
AR,Yell,35.0026,-93.4108
AZ,Apache,35.3955,-109.4888
