State,County,Estimate!!Total:!!Built 2020 or later,Estimate!!Total:!!Built 2010 to 2019,Estimate!!Total:!!Built 2000 to 2009,Estimate!!Total:!!Built 1990 to 1999,Estimate!!Total:!!Built 1980 to 1989,Estimate!!Total:!!Built 1970 to 1979,Estimate!!Total:!!Built 1960 to 1969,Estimate!!Total:!!Built 1950 to 1959,Estimate!!Total:!!Built 1940 to 1949,Estimate!!Total:!!Built 1939 or earlier,Estimate!!Total:!!Complete plumbing facilities,Estimate!!Total:!!Lacking complete plumbing facilities,"Estimate!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $69,999","Estimate!!Total:!!$70,000 to $79,999","Estimate!!Total:!!$80,000 to $89,999","Estimate!!Total:!!$90,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $174,999","Estimate!!Total:!!$175,000 to $199,999","Estimate!!Total:!!$200,000 to $249,999","Estimate!!Total:!!$250,000 to $299,999","Estimate!!Total:!!$300,000 to $399,999","Estimate!!Total:!!$400,000 to $499,999","Estimate!!Total:!!$500,000 to $749,999","Estimate!!Total:!!$750,000 to $999,999","Estimate!!Total:!!$1,000,000 to $1,499,999","Estimate!!Total:!!$1,500,000 to $1,999,999","Estimate!!Total:!!$2,000,000 or more"
AL,Autauga,0.0029375258585022756,0.10128258171286719,0.21617707902358296,0.21592883740173768,0.0983864294580058,0.1784857261067439,0.11692180388911874,0.03558129913115432,0.013529168390566818,0.020769549027720314,0.9949670571010248,0.00503294289897511,0.032353484932519876,0.020028347815369447,0.01904233684599741,0.00893572440993406,0.008319467554076539,0.00949035558020583,0.0015406421396438035,0.0230480064090713,0.024896776976643865,0.018610957046897147,0.013865779256794232,0.06446046712269674,0.03863930486226659,0.09662907499845935,0.05725026190916374,0.10574967646515067,0.08227029025697911,0.14531336661120356,0.07832624637949097,0.09687557774080237,0.028039686941517223,0.02354101189375732,0.0019103962531583163,0.0001232513711715043,0.0,0.0007395082270290257
AL,Baldwin,0.0036217898704861084,0.13500817161206607,0.2720859374358385,0.23495643175677342,0.152805039297652,0.09018338904264843,0.051099266608082915,0.023890672864499068,0.01413401443788343,0.02221528707407012,0.9972703291661887,0.0027296708338112167,0.011570149608875405,0.009235299366467387,0.008209154992415455,0.006037892983551947,0.002647155051902085,0.007301983879123167,0.0017399839386097974,0.008699919693048987,0.012700395586092025,0.010365545343684007,0.012596293982927336,0.021519288539900656,0.017503940989262664,0.05175336843044526,0.0635763362184349,0.09006275839505071,0.08729663008238898,0.1450135332084114,0.10106778501531781,0.14989143689955683,0.06757681211147795,0.06356146456083996,0.02786948633294667,0.014023973112043068,0.0017102406234198865,0.006469171053805657
AL,Barbour,0.0,0.036856089826004974,0.09351161395388703,0.2186508956886946,0.1643953029913431,0.15008142624496443,0.12488214622439359,0.08571183680466272,0.04971286534670438,0.07619782291934517,0.9979093309859155,0.002090669014084507,0.037141846480367884,0.05341351255748143,0.039794835514679876,0.03413512557481429,0.01591793420587195,0.03784931022285108,0.008489564909798374,0.058365758754863814,0.07392996108949416,0.03590378493102229,0.0638486027591086,0.04350902016271666,0.029182879377431907,0.09780686239830208,0.0613724796604174,0.08931729748850371,0.029536611248673506,0.032189600282985495,0.0613724796604174,0.04793066855323665,0.01574106827025115,0.019632118853908736,0.008135833038556774,0.005482844004244782,0.0,0.0
AL,Bibb,0.0,0.06867857539110174,0.1483412848108288,0.20381670919782535,0.16043492732719405,0.15677354931765228,0.11061799622767114,0.04970598025074892,0.029734827471430157,0.07189615000554754,0.9930820273895242,0.006917972610475787,0.07311827956989247,0.017204301075268817,0.014874551971326165,0.018458781362007168,0.011111111111111112,0.028136200716845878,0.01827956989247312,0.04103942652329749,0.026523297491039426,0.07204301075268817,0.06039426523297491,0.06541218637992832,0.04157706093189964,0.10161290322580645,0.07186379928315412,0.09211469534050179,0.04103942652329749,0.06845878136200717,0.06236559139784946,0.0514336917562724,0.007168458781362007,0.0034050179211469536,0.0,0.007885304659498209,0.004480286738351254,0.0
AL,Blount,0.0008969706853671464,0.05512292575529009,0.1941941533819872,0.22607738410731032,0.14302605292127044,0.1486117340074204,0.09377420801565621,0.04782484608798467,0.039711338524890935,0.0507603865128226,0.9944131455399061,0.005586854460093897,0.02614882893566558,0.017313963830418024,0.010257930625555885,0.01535724873999407,0.01049510821227394,0.01861844055736733,0.006225911651348948,0.02911354876964127,0.04530091906314853,0.025555884968870443,0.04951082122739401,0.049214349243996446,0.044707975096353395,0.1044767269493033,0.0911947820930922,0.10827156833679218,0.04589386302994367,0.11408241921138453,0.06546101393418322,0.06931514971835162,0.02033797806107323,0.013104061666172546,0.01393418321968574,0.003083308627334717,0.0,0.003024014230655203
AL,Bullock,0.0026536930561698365,0.045112781954887216,0.1375497567448032,0.26006191950464397,0.14396284829721362,0.19438301636444053,0.06833259619637329,0.0583812472357364,0.024325519681556832,0.06523662096417514,1.0,0.0,0.09549549549549549,0.047747747747747746,0.033783783783783786,0.00045045045045045046,0.03918918918918919,0.026126126126126126,0.012162162162162163,0.046396396396396394,0.1045045045045045,0.07972972972972973,0.055855855855855854,0.07747747747747748,0.022072072072072072,0.1036036036036036,0.0481981981981982,0.055855855855855854,0.008108108108108109,0.01981981981981982,0.04099099099099099,0.05855855855855856,0.007207207207207207,0.0018018018018018018,0.014864864864864866,0.0,0.0,0.0
AL,Butler,0.001219264377159114,0.02804308067465962,0.05567973989026621,0.2009754115017273,0.17618370249949197,0.219264377159114,0.13168055273318433,0.07762649867913025,0.038000406421459056,0.07132696606380817,0.9966314500076559,0.0033685499923442044,0.04314720812182741,0.02305414551607445,0.02305414551607445,0.015651438240270727,0.03616751269035533,0.02263113367174281,0.014805414551607445,0.05922165820642978,0.043570219966159056,0.07677664974619289,0.0687394247038917,0.05626057529610829,0.047800338409475465,0.13494077834179358,0.05012690355329949,0.10596446700507614,0.04251269035532995,0.04230118443316413,0.04928087986463621,0.025592216582064297,0.0014805414551607445,0.012901861252115059,0.0019035532994923859,0.0,0.0,0.0021150592216582064
AL,Calhoun,0.0005836722397951499,0.05117487573429733,0.1156612441632776,0.13556258472661545,0.15631119144449465,0.20259075161921977,0.11279936737460461,0.10223678264798916,0.07024777827986142,0.05283175176984486,0.9963652782481093,0.0036347217518907324,0.03775325212302408,0.013421964950224229,0.011672656722114436,0.02076905950828536,0.013994465824878344,0.02076905950828536,0.013644604179256385,0.03015171273178334,0.031105880856206865,0.04761298940873382,0.05422855507140358,0.05263827486403104,0.038580197830857796,0.12238796475939061,0.1101110015584746,0.08597054801055946,0.06551954454374861,0.0894373588626316,0.05864953404789924,0.0448459018479056,0.012658630450685411,0.01742947107280303,0.0038166724976940935,0.001876530644699596,0.0008587513119811711,9.541681244235235e-05
AL,Chambers,0.0031643643887299946,0.06383496622649547,0.12109779103024403,0.13625022819935495,0.12414044909633055,0.1877320026775391,0.11440394328485365,0.08203006146169294,0.05257713138197529,0.11476906225278403,0.9946658538443953,0.005334146155604663,0.027175706898448674,0.014963142259874574,0.012432610848278139,0.006931455605677192,0.018923974034547254,0.032236769721641544,0.008691825283309494,0.03729783254483442,0.04962042028826053,0.0667840246451755,0.05248102101441303,0.10012102541533723,0.042248872263175266,0.1069424579161624,0.08042688964682583,0.0993508636813731,0.0511607437561888,0.06711409395973154,0.042798987787435364,0.05633182968423369,0.0064913631862691164,0.010562218065793817,0.0023104852018923975,0.0,0.0009902079436681704,0.005611178347452965
AL,Cherokee,0.002375458124066784,0.061422560065155424,0.19438034478077915,0.21392697163024296,0.16220985475770328,0.14273109814035564,0.09488258449843899,0.056671643817021854,0.03407085652232931,0.03732862766390661,1.0,0.0,0.04114631260680952,0.01985013803076114,0.012488497436571579,0.024056789798869462,0.014460365452872355,0.015249112659392664,0.013145786775338505,0.038385697383988435,0.047456290258972,0.03273300907059287,0.03391612988037334,0.05166294202708032,0.028263441566977784,0.07571973182594978,0.08045221506507165,0.1256737215722361,0.055475220191928486,0.06875246483502037,0.0588931247535165,0.08071513080057842,0.03680820297094781,0.022873668989088998,0.002892073090574471,0.01695806494018667,0.0002629157355067701,0.0017089522807940056
