State,County,Total Owner occupied,Total Renter occupied
AL,Baldwin,0.7585144253759099,0.24148557462409012
AL,Calhoun,0.727521229638592,0.272478770361408
AL,Cullman,0.7596709458882468,0.24032905411175315
AL,DeKalb,0.7871812322350774,0.21281876776492253
AL,Elmore,0.7160209293633986,0.2839790706366015
AL,Etowah,0.733147397779298,0.266852602220702
AL,Houston,0.641109446638522,0.35889055336147807
AL,Jefferson,0.6440715610389899,0.3559284389610101
AL,Lauderdale,0.6692810457516339,0.330718954248366
AL,Lee,0.6478072389322723,0.3521927610677277
AL,Limestone,0.7477940272827823,0.2522059727172177
AL,Madison,0.7037138358471181,0.2962861641528819
AL,Marshall,0.7496597505763408,0.2503402494236591
AL,Mobile,0.641243717899155,0.358756282100845
AL,Montgomery,0.5968811886545392,0.40311881134546085
AL,Morgan,0.7371209891080365,0.26287901089196347
AL,St. Clair,0.7949113105490587,0.20508868945094128
AL,Shelby,0.811555708865126,0.1884442911348741
AL,Talladega,0.7293560325684678,0.2706439674315322
AL,Tuscaloosa,0.6176552010519759,0.3823447989480241
AK,Anchorage Municipality,0.6360326325010951,0.36396736749890496
AK,Fairbanks North Star Borough,0.5849393290506781,0.4150606709493219
AK,Matanuska-Susitna Borough,0.7899358489645584,0.21006415103544163
AZ,Apache,0.7846540880503144,0.21534591194968553
AZ,Cochise,0.7250760730301089,0.2749239269698911
AZ,Coconino,0.5852570495965183,0.41474295040348175
AZ,Maricopa,0.6583141787575657,0.3416858212424343
AZ,Mohave,0.7365182913728784,0.2634817086271216
AZ,Navajo,0.7516401826028388,0.24835981739716118
AZ,Pima,0.6463841458346801,0.35361585416531993
AZ,Pinal,0.8132391515909281,0.18676084840907187
AZ,Yavapai,0.755619005130493,0.24438099486950704
AZ,Yuma,0.7010976113948867,0.2989023886051133
AR,Benton,0.6848422850600171,0.3151577149399829
AR,Craighead,0.6463044611956573,0.3536955388043427
AR,Faulkner,0.6174608738684867,0.3825391261315133
AR,Garland,0.6940608883713193,0.30593911162868076
AR,Jefferson,0.6238743369381965,0.3761256630618035
AR,Lonoke,0.7560616929698709,0.24393830703012911
AR,Pulaski,0.5880418361417781,0.411958163858222
AR,Saline,0.7632816267481113,0.23671837325188877
AR,Sebastian,0.6324020826857321,0.36759791731426794
AR,Washington,0.6038102313733814,0.39618976862661853
