State,County,Percent of Children with Confirmed BLLs ³5 µg/dL,Estimate!!Total:!!Built 2020 or later,Estimate!!Total:!!Built 2010 to 2019,Estimate!!Total:!!Built 2000 to 2009,Estimate!!Total:!!Built 1990 to 1999,Estimate!!Total:!!Built 1980 to 1989,Estimate!!Total:!!Built 1970 to 1979,Estimate!!Total:!!Built 1960 to 1969,Estimate!!Total:!!Built 1950 to 1959,Estimate!!Total:!!Built 1940 to 1949,Estimate!!Total:!!Built 1939 or earlier,Estimate!!Total:!!Complete plumbing facilities,Estimate!!Total:!!Lacking complete plumbing facilities,"Estimate!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $69,999","Estimate!!Total:!!$70,000 to $79,999","Estimate!!Total:!!$80,000 to $89,999","Estimate!!Total:!!$90,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $174,999","Estimate!!Total:!!$175,000 to $199,999","Estimate!!Total:!!$200,000 to $249,999","Estimate!!Total:!!$250,000 to $299,999","Estimate!!Total:!!$300,000 to $399,999","Estimate!!Total:!!$400,000 to $499,999","Estimate!!Total:!!$500,000 to $749,999","Estimate!!Total:!!$750,000 to $999,999","Estimate!!Total:!!$1,000,000 to $1,499,999","Estimate!!Total:!!$1,500,000 to $1,999,999","Estimate!!Total:!!$2,000,000 or more",Total:!!Owner occupied,Total:!!Renter occupied,Estimate!!Total:!!Under 19 years:,Estimate!!Total:!!Under 19 years:!!With health insurance coverage,Estimate!!Total:!!Under 19 years:!!No health insurance coverage,Estimate!!Total:!!19 to 64 years:,Estimate!!Total:!!19 to 64 years:!!With health insurance coverage,Estimate!!Total:!!19 to 64 years:!!No health insurance coverage,Estimate!!Total:!!65 years and over:,Estimate!!Total:!!65 years and over:!!With health insurance coverage,Estimate!!Total:!!65 years and over:!!No health insurance coverage,"Estimate!!Total:!!Agriculture, forestry, fishing and hunting, and mining",Estimate!!Total:!!Construction,Estimate!!Total:!!Manufacturing,Estimate!!Total:!!Wholesale trade,Estimate!!Total:!!Retail trade,"Estimate!!Total:!!Transportation and warehousing, and utilities",Estimate!!Total:!!Information,"Estimate!!Total:!!Finance and insurance, and real estate and rental and leasing","Estimate!!Total:!!Professional, scientific, and management, and administrative and waste management services","Estimate!!Total:!!Educational services, and  health care and social assistance","Estimate!!Total:!!Arts, entertainment, and recreation, and accommodation and food services","Estimate!!Total:!!Other services, except public administration",Estimate!!Total:!!Public administration,"Estimate!!Total:!!Management, business, science, and arts occupations",Estimate!!Total:!!Service occupations,Estimate!!Total:!!Sales and office occupations,"Estimate!!Total:!!Natural resources, construction, and maintenance occupations","Estimate!!Total:!!Production, transportation, and material moving occupations",Estimate!!Total:!!Income in the past 12 months below poverty level:,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Under 18 years,Estimate!!Total:!!Income in the past 12 months below poverty level:!!18 to 64 years,Estimate!!Total:!!Income in the past 12 months below poverty level:!!65 years and over,Estimate!!Total:!!Income in the past 12 months at or above poverty level:,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Under 18 years,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!18 to 64 years,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!65 years and over,lat,lng,ADHD Percentage (Ever),ADHD Percentage (Current),ADHD Behavior Treatment(%),ADHD Medication(%),ADHD Meds or BT,Any Treatment
AL,AUTAUGA,,0.0029375258585022,0.1012825817128671,0.2161770790235829,0.2159288374017376,0.0983864294580058,0.1784857261067439,0.1169218038891187,0.0355812991311543,0.0135291683905668,0.0207695490277203,0.9949670571010248,0.0050329428989751,0.0323534849325198,0.0200283478153694,0.0190423368459974,0.008935724409934,0.0083194675540765,0.0094903555802058,0.0015406421396438,0.0230480064090713,0.0248967769766438,0.0186109570468971,0.0138657792567942,0.0644604671226967,0.0386393048622665,0.0966290749984593,0.0572502619091637,0.1057496764651506,0.0822702902569791,0.1453133666112035,0.0783262463794909,0.0968755777408023,0.0280396869415172,0.0235410118937573,0.0019103962531583,0.0001232513711715,0.0,0.000739508227029,,,0.2564418256969484,0.2492129100342977,0.0072289156626506,0.5809691320024624,0.5228739776624747,0.0580951543399876,0.1625890423005892,0.1615337261454577,0.0010553161551314,0.0111342548759704,0.0644196174966862,0.1507669002082939,0.0115508426434387,0.1138042037492899,0.0661238401817837,0.0235940162847945,0.0528687748532474,0.0828630941109638,0.2068926339708388,0.0975194092028025,0.0446885059647794,0.0737739064571103,0.2785457299753834,0.1481916303730354,0.2710471501609544,0.1190304866502556,0.1831850028403711,0.0622514974147198,0.0137881606115936,0.0423030323714612,0.0061603044316649,0.93774850258528,0.2184263067183154,0.5677377519154964,0.1515844439514684,32.5349,-86.6427,12.7,12.1,50.6,77.0,84.3,91.2
AL,BALDWIN,,0.0036217898704861,0.135008171612066,0.2720859374358385,0.2349564317567734,0.152805039297652,0.0901833890426484,0.0510992666080829,0.023890672864499,0.0141340144378834,0.0222152870740701,0.9972703291661889,0.0027296708338112,0.0115701496088754,0.0092352993664673,0.0082091549924154,0.0060378929835519,0.002647155051902,0.0073019838791231,0.0017399839386097,0.0086999196930489,0.012700395586092,0.010365545343684,0.0125962939829273,0.0215192885399006,0.0175039409892626,0.0517533684304452,0.0635763362184349,0.0900627583950507,0.0872966300823889,0.1450135332084114,0.1010677850153178,0.1498914368995568,0.0675768121114779,0.0635614645608399,0.0278694863329466,0.014023973112043,0.0017102406234198,0.0064691710538056,0.7585144253759099,0.2414855746240901,0.2226708970291318,0.2099458762449312,0.0127250207842006,0.5639983711973396,0.49180084494138,0.0721975262559595,0.2133307317735285,0.2100561597583942,0.0032745720151342,0.0077573472772254,0.0923813062430333,0.0805912258602408,0.0241420247038886,0.1560894269894061,0.0314462559018369,0.010349171250691,0.0710032896227355,0.1285490316909386,0.1962808232212928,0.1015070640796759,0.0501690122975703,0.0497340208614642,0.368736802994191,0.1640552076630991,0.2401787089816669,0.0902879099567727,0.1367413704042701,0.1075681301641921,0.0366745257970645,0.0598610845599949,0.0110325198071326,0.8924318698358079,0.1741243441874296,0.5156821512776397,0.2026253743707385,30.7277,-87.7226,12.7,12.1,50.6,77.0,84.3,91.2
AL,BARBOUR,,0.0,0.0368560898260049,0.093511613953887,0.2186508956886946,0.1643953029913431,0.1500814262449644,0.1248821462243935,0.0857118368046627,0.0497128653467043,0.0761978229193451,0.9979093309859156,0.0020906690140845,0.0371418464803678,0.0534135125574814,0.0397948355146798,0.0341351255748142,0.0159179342058719,0.037849310222851,0.0084895649097983,0.0583657587548638,0.0739299610894941,0.0359037849310222,0.0638486027591086,0.0435090201627166,0.0291828793774319,0.097806862398302,0.0613724796604174,0.0893172974885037,0.0295366112486735,0.0321896002829854,0.0613724796604174,0.0479306685532366,0.0157410682702511,0.0196321188539087,0.0081358330385567,0.0054828440042447,0.0,0.0,,,0.2553357506770092,0.2546472667186854,0.0006884839583237,0.5408270987285996,0.4758801119933905,0.064946986735209,0.2038371505943911,0.2038371505943911,0.0,0.0435621445978878,0.0226441917140536,0.2426888708367181,0.0128960194963444,0.167952883834281,0.0646831844029244,0.0,0.03482940698619,0.0477254264825345,0.1763809910641754,0.0899675060926076,0.0527010560519902,0.0439683184402924,0.2563972380178717,0.1668359057676685,0.2512185215272136,0.1205320877335499,0.2050162469536962,0.120989580942764,0.0351585808050672,0.0695368797907008,0.0162941203469959,0.879010419057236,0.2003029329416624,0.4911644558681782,0.1875430302473952,31.8696,-85.3932,12.7,12.1,50.6,77.0,84.3,91.2
AL,BIBB,,0.0,0.0686785753911017,0.1483412848108288,0.2038167091978253,0.160434927327194,0.1567735493176522,0.1106179962276711,0.0497059802507489,0.0297348274714301,0.0718961500055475,0.9930820273895242,0.0069179726104757,0.0731182795698924,0.0172043010752688,0.0148745519713261,0.0184587813620071,0.0111111111111111,0.0281362007168458,0.0182795698924731,0.0410394265232974,0.0265232974910394,0.0720430107526881,0.0603942652329749,0.0654121863799283,0.0415770609318996,0.1016129032258064,0.0718637992831541,0.0921146953405017,0.0410394265232974,0.0684587813620071,0.0623655913978494,0.0514336917562724,0.007168458781362,0.0034050179211469,0.0,0.0078853046594982,0.0044802867383512,0.0,,,0.20260861492759,0.1964352023765317,0.0061734125510582,0.6113070924619384,0.5542146305235797,0.0570924619383587,0.1860842926104716,0.1860842926104716,0.0,0.0296379141618901,0.1430169159793093,0.1114217810708793,0.0359289808471969,0.1427373130155179,0.0588564238780931,0.0078288829861596,0.0805256535719278,0.0452956801342094,0.1543408360128617,0.0176149867188592,0.0459946875436879,0.1267999440794072,0.286872640849993,0.1672025723472668,0.1314133929819656,0.2378023207045994,0.176709073116175,0.203954697363535,0.0882380245079836,0.1126531748978834,0.003063497957668,0.7960453026364649,0.1115855922762718,0.5014389157073895,0.1830207946528035,32.9986,-87.1265,12.7,12.1,50.6,77.0,84.3,91.2
AL,BLOUNT,0.00,0.0008969706853671,0.05512292575529,0.1941941533819872,0.2260773841073103,0.1430260529212704,0.1486117340074204,0.0937742080156562,0.0478248460879846,0.0397113385248909,0.0507603865128226,0.994413145539906,0.0055868544600938,0.0261488289356655,0.017313963830418,0.0102579306255558,0.015357248739994,0.0104951082122739,0.0186184405573673,0.0062259116513489,0.0291135487696412,0.0453009190631485,0.0255558849688704,0.049510821227394,0.0492143492439964,0.0447079750963533,0.1044767269493033,0.0911947820930922,0.1082715683367921,0.0458938630299436,0.1140824192113845,0.0654610139341832,0.0693151497183516,0.0203379780610732,0.0131040616661725,0.0139341832196857,0.0030833086273347,0.0,0.0030240142306552,,,0.2404498210938831,0.2357812233770659,0.0046685977168171,0.5808144487987732,0.4930993354915658,0.0877151133072073,0.1787357301073436,0.1787357301073436,0.0,0.0231225142322389,0.1470404741480153,0.1670825859783202,0.017273648912111,0.1460266708258598,0.0438274974654916,0.0070966232550885,0.0248771738282773,0.1188099508695313,0.1894252515012087,0.0407470950635576,0.0326366684863136,0.0420338454339858,0.2699836231771036,0.1498089370662091,0.2235826249707556,0.1978086251267254,0.1588161896592061,0.100099413801378,0.0246649069281135,0.06107092660519,0.0143635802680744,0.8999005861986219,0.2023242261149772,0.5321380823420521,0.1654382777415926,33.9809,-86.5674,12.7,12.1,50.6,77.0,84.3,91.2
AL,BULLOCK,,0.0026536930561698,0.0451127819548872,0.1375497567448032,0.2600619195046439,0.1439628482972136,0.1943830163644405,0.0683325961963732,0.0583812472357364,0.0243255196815568,0.0652366209641751,1.0,0.0,0.0954954954954954,0.0477477477477477,0.0337837837837837,0.0004504504504504,0.0391891891891891,0.0261261261261261,0.0121621621621621,0.0463963963963963,0.1045045045045045,0.0797297297297297,0.0558558558558558,0.0774774774774774,0.022072072072072,0.1036036036036036,0.0481981981981982,0.0558558558558558,0.0081081081081081,0.0198198198198198,0.0409909909909909,0.0585585585585585,0.0072072072072072,0.0018018018018018,0.0148648648648648,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1005,-85.7157,12.7,12.1,50.6,77.0,84.3,91.2
AL,BUTLER,,0.0012192643771591,0.0280430806746596,0.0556797398902662,0.2009754115017273,0.1761837024994919,0.219264377159114,0.1316805527331843,0.0776264986791302,0.038000406421459,0.0713269660638081,0.996631450007656,0.0033685499923442,0.0431472081218274,0.0230541455160744,0.0230541455160744,0.0156514382402707,0.0361675126903553,0.0226311336717428,0.0148054145516074,0.0592216582064297,0.043570219966159,0.0767766497461928,0.0687394247038917,0.0562605752961082,0.0478003384094754,0.1349407783417935,0.0501269035532994,0.1059644670050761,0.0425126903553299,0.0423011844331641,0.0492808798646362,0.0255922165820642,0.0014805414551607,0.012901861252115,0.0019035532994923,0.0,0.0,0.0021150592216582,,,0.232769899000471,0.219896383902873,0.0128735150975979,0.5790465225809828,0.4752734313674185,0.1037730912135642,0.1881835784185462,0.1881835784185462,0.0,0.0107002573479615,0.0468644182581606,0.2073682784775836,0.0172016795340647,0.1202763104429093,0.0723283218203982,0.0112420425301368,0.0284437220642015,0.0460517404848977,0.2022213192469186,0.1056481105241771,0.0631179737234186,0.0685358255451713,0.2192875524854395,0.1340918325883787,0.2526073411892184,0.1288094270621698,0.2652038466747934,0.2066635234952066,0.0672638692440672,0.1135208758971135,0.0258787783540258,0.7933364765047933,0.1514484781811514,0.4793860338414794,0.1625019644821625,31.7524,-86.6803,12.7,12.1,50.6,77.0,84.3,91.2
AL,CALHOUN,2.00,0.0005836722397951,0.0511748757342973,0.1156612441632776,0.1355625847266154,0.1563111914444946,0.2025907516192197,0.1127993673746046,0.1022367826479891,0.0702477782798614,0.0528317517698448,0.9963652782481092,0.0036347217518907,0.037753252123024,0.0134219649502242,0.0116726567221144,0.0207690595082853,0.0139944658248783,0.0207690595082853,0.0136446041792563,0.0301517127317833,0.0311058808562068,0.0476129894087338,0.0542285550714035,0.052638274864031,0.0385801978308577,0.1223879647593906,0.1101110015584746,0.0859705480105594,0.0655195445437486,0.0894373588626316,0.0586495340478992,0.0448459018479056,0.0126586304506854,0.017429471072803,0.003816672497694,0.0018765306446995,0.0008587513119811,9.541681244235236e-05,0.727521229638592,0.272478770361408,0.2352859050095549,0.2221097547141822,0.0131761502953726,0.5843229989267109,0.4695334246647062,0.1147895742620047,0.1803910960637341,0.1780961771712288,0.0022949188925053,0.0028948946465126,0.0537623291495213,0.1720187754595645,0.0247720270465871,0.0910030809950166,0.0548996091892227,0.0092016294121296,0.0398668348462604,0.0926779843262132,0.2102934182502429,0.1342404003225739,0.041665805090879,0.0727032112652757,0.3049151175534004,0.2184198010793821,0.2078327578007071,0.0867641281197659,0.1820681954467442,0.1981415080942914,0.0537933115592161,0.1217338824197671,0.0226143141153081,0.8018584919057086,0.1624893496165862,0.4785039761431411,0.1608651661459812,33.7714,-85.826,12.7,12.1,50.6,77.0,84.3,91.2
AL,CHAMBERS,,0.0031643643887299,0.0638349662264954,0.121097791030244,0.1362502281993549,0.1241404490963305,0.1877320026775391,0.1144039432848536,0.0820300614616929,0.0525771313819752,0.114769062252784,0.9946658538443952,0.0053341461556046,0.0271757068984486,0.0149631422598745,0.0124326108482781,0.0069314556056771,0.0189239740345472,0.0322367697216415,0.0086918252833094,0.0372978325448344,0.0496204202882605,0.0667840246451755,0.052481021014413,0.1001210254153372,0.0422488722631752,0.1069424579161624,0.0804268896468258,0.0993508636813731,0.0511607437561888,0.0671140939597315,0.0427989877874353,0.0563318296842336,0.0064913631862691,0.0105622180657938,0.0023104852018923,0.0,0.0009902079436681,0.0056111783474529,,,0.2291277440448388,0.2131597384399813,0.0159680056048575,0.5573622139187295,0.4568250817375058,0.1005371321812237,0.2135100420364315,0.2135100420364315,0.0,0.0,0.0895532506270761,0.2320520642668293,0.0,0.1060267100535557,0.0223035726391431,0.0190495559623076,0.021286692427632,0.0879262422886583,0.2687275438953291,0.0867059860348451,0.0406752084604433,0.02569317334418,0.3249271235848417,0.1445325740627754,0.1652769303776015,0.1288048267914039,0.2364585451833774,0.185614849187935,0.0787394637140591,0.0858174983112573,0.0210578871626185,0.814385150812065,0.131222649710711,0.4894123175423654,0.1937501835589885,32.9143,-85.392,12.7,12.1,50.6,77.0,84.3,91.2
AL,CHEROKEE,0.00,0.0023754581240667,0.0614225600651554,0.1943803447807791,0.2139269716302429,0.1622098547577032,0.1427310981403556,0.0948825844984389,0.0566716438170218,0.0340708565223293,0.0373286276639066,1.0,0.0,0.0411463126068095,0.0198501380307611,0.0124884974365715,0.0240567897988694,0.0144603654528723,0.0152491126593926,0.0131457867753385,0.0383856973839884,0.047456290258972,0.0327330090705928,0.0339161298803733,0.0516629420270803,0.0282634415669777,0.0757197318259497,0.0804522150650716,0.1256737215722361,0.0554752201919284,0.0687524648350203,0.0588931247535165,0.0807151308005784,0.0368082029709478,0.0228736689890889,0.0028920730905744,0.0169580649401866,0.0002629157355067,0.001708952280794,,,0.1677822934098334,0.1651526018009403,0.0026296916088931,0.6082157940871783,0.524782851223205,0.0834329428639732,0.2240019125029883,0.2240019125029883,0.0,0.0128373597493177,0.0613565147073688,0.1748711209946426,0.0254725563529768,0.1271606186192257,0.1801273627817649,0.0,0.0302233902759526,0.0152633174972202,0.2189426867482058,0.0686343879510765,0.0413423632871727,0.0437683210350753,0.3215404831699181,0.0730819771555645,0.2901041140200141,0.1160416456080056,0.1992317800464975,0.22563529740296,0.0605178122631347,0.1313679339370487,0.0337495512027765,0.7743647025970399,0.1006901503969362,0.4831451709418757,0.1905293812582279,34.1759,-85.6038,12.7,12.1,50.6,77.0,84.3,91.2
